| #  | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|25  | Helga Stonebrew (นอร์ดิก) | ผู้รักษาพิธีเสา | ดูแลเสาอนุสรณ์ใหญ่ | 61 | หญิง | ผมหงอกม้วน | ขาว | ขาว | 4'11" | อวบ | เสื้อปนพิธีท้องถิ่น | Large | เคร่งครัด, มีปณิธาน | Yomi-no-Miyako |
|26  | Satoshi Inoue (ญี่ปุ่น) | ช่างทำหีบเงินคำสาป | ผลิตหีบเก็บวัตถุพิธี | 33 | ชาย | ผมยุ่ง | ดำ | เหลือง | 5'7" | ผอม | เสื้อช่างโลหะ | - | พิถีพิถัน, ใฝ่รู้ | Yomi-no-Miyako |
|27  | Olga Zhukova (รัสเซีย) | ผู้ประสานงานงานศพ | ประสานญาติและวัด | 45 | หญิง | ผมห่อมวยเรียบ | บลอนด์ | ขาว | 5'4" | ผอม | ชุดเจ้าหน้าที่พิธี | Medium | เป็นระเบียบ, สุภาพ | Yomi-no-Miyako |
|28  | Yeo Jin (เกาหลี) | พนักงานคัดเลือกเครื่องสักการะ | ตรวจคุณภาพของถวาย | 31 | หญิง | ผมบ๊อบ | ดำ | เหลือง | 5'3" | ผอม | เสื้อพนักงานตลาด | Small | พิถีพิถัน, จริงใจ | Yomi-no-Miyako |
|29  | Tomasz (โปแลนด์) | คนขนหีบ | หัวหน้าทีมขนหีบพิธี | 50 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'9" | มีกล้ามเล็กน้อย | เสื้อขนส่งแข็งแรง | - | อดทน, รับผิดชอบ | Yomi-no-Miyako |
|30  | Mei-Yu (จีน) | แม่ครัวร้านอาหารศาล | ทำอาหารสำหรับญาติผู้ไว้ทุกข์ | 42 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'2" | อวบ | ชุดครัวพิธี | Large | ใจดี, ใส่ใจรายละเอียด | Yomi-no-Miyako |
|31  | Lucian Morales (ละติน) | นักจิตวิทยาชั่วคราว | ปรึกษาจิตใจผู้ไว้ทุกข์ | 48 | ชาย | ผมหวีเรียบ | ดำหม่น | ขาว | 5'10" | ผอม | เสื้อที่ปรึกษา | - | รับฟัง, สุภาพ | Yomi-no-Miyako |
|32  | Aiko Fujii (ญี่ปุ่น) | ช่างเย็บผ้าพิธี | ปรับแต่งผ้ากันเปื้อนพิธี | 28 | หญิง | ผมบ๊อบ | ดำ | เหลือง | 5'2" | ผอม | เสื้อช่างตัดเย็บ | Small | ประณีต, ขยัน | Yomi-no-Miyako |
|33  | Rafael Mendes (โปรตุเกส) | พ่อค้ายางเทียน | ขายเทียนสำหรับพิธีกลางคืน | 40 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาวเมดิเตอร์เรเนียน | 5'9" | ผอม | เสื้อพ่อค้าพื้นเมือง | - | เจรจาดี, กระตือรือร้น | Yomi-no-Miyako |
|34  | Nari (เกาหลี) | มัคคุเทศก์สุสาน | นำชมสุสานประวัติศาสตร์ | 36 | หญิง | ผมยาวตรง | ดำ | เหลือง | 5'3" | หุ่นดี | ชุดมัคคุเทศก์ | Small | เป็นมิตร, รู้เรื่องเมือง | Yomi-no-Miyako |
|35  | Pietro Rossi (อิตาลี) | ช่างแกะโลหะลาย | ทำตราและป้ายคติ | 55 | ชาย | เคราสั้น | น้ำตาลเข้ม | ขาว | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างโลหะ | - | พิถีพิถัน, ภูมิฐาน | Yomi-no-Miyako |
|36  | Lin (จีน) | เด็กเสิร์ฟแผงตลาด | แผงของถวายริมทาง | 18 | หญิง | ผมเปียคู่ | ดำ | เหลือง | 5'1" | Tiny | ชุดเสิร์ฟตลาด | Tiny | ร่าเริง, ว่องไว | Yomi-no-Miyako |
|37  | Anastasia (รัสเซีย) | นักร้องสวดพิธี | ขับสวดในงานพระราชพิธี | 46 | หญิง | ผมหยักมวยต่ำ | บลอนด์หม่น | ขาว | 5'5" | หุ่นดี | ชุดสวดศักดิ์สิทธิ์ | Large | เคร่งครัด, นุ่มนวล | Yomi-no-Miyako |
|38  | Hoon Park (เกาหลี) | ช่างเครื่องสัญญาณ | ดูแลระฆังและสัญญาณ | 39 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'9" | ผอม | เสื้อช่างเสียง | - | รอบคอบ, มีสมาธิ | Yomi-no-Miyako |
|39  | Celeste Armand (ฝรั่งเศส) | นักจัดวางพวงหรีด | ออกแบบพวงหรีดพิธี | 33 | หญิง | ผมหยักบ่า | บลอนด์ | ขาว | 5'6" | หุ่นดี | ชุดดีไซน์พิธี | Medium | สร้างสรรค์, นุ่มนวล | Yomi-no-Miyako |
|40  | Ryo Takahashi (ญี่ปุ่น) | ช่างตีระฆัง | ผลิตระฆังพิธีขนาดเล็ก | 41 | ชาย | ผมสั้น | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างตีโลหะ | - | ใส่ใจ, เงียบขรึม | Yomi-no-Miyako |
|41  | Olga Petrova (รัสเซีย) | เจ้าหน้าที่สำรวจแผ่นดิน | ตรวจที่ตั้งสุสานใหม่ | 50 | หญิง | ผมห่อมวย | เทา | ขาว | 5'4" | อวบ | เสื้อภาคสนามพิธี | Large | จริงจัง, รอบคอบ | Yomi-no-Miyako |
|42  | Mei Chen (จีน) | นักปรุงขนมเซ่น | ทำขนมถวายฤดูกาล | 29 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'2" | ผอม | ผ้ากันเปื้อนขนม | Small | ขยัน, มีฝีมือ | Yomi-no-Miyako |
|43  | Viktor Orsik (ยุโรป) | ผู้คุมคลังโลง | เก็บ-เบิกโลงศพ | 57 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อคลัง | - | เคร่งครัด, ซื่อสัตย์ | Yomi-no-Miyako |
|44  | Aiko (ญี่ปุ่น) | เจ้าของร้านเครื่องราง | ขายเครื่องรางปกป้องวิญญาณ | 36 | หญิง | ผมหยักยาว | ดำเงา | เหลือง | 5'2" | หุ่นดี | ชุดพ่อค้าเครื่องราง | Small | ลึกลับ, ใจดี | Yomi-no-Miyako |
|45  | Rafael Ortega (สเปน) | คนกลางการค้าดอกไม้ | นายหน้าส่งดอกไม้พิธี | 40 | ชาย | หนวดบาง | ดำ | ผิวแทน | 5'9" | ผอม | เสื้อพ่อค้าดอกไม้ | - | มีเครือข่าย, รวดเร็ว | Yomi-no-Miyako |
|46  | Natsumi Aoki (ญี่ปุ่น) | ช่างเย็บซับในโลง | ตัดเย็บซับในโลงแบบพิเศษ | 32 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'2" | ผอม | เสื้อช่างตัดเย็บ | Small | ประณีต, ใจเย็น | Yomi-no-Miyako |
|47  | Marta Kowalska (โปแลนด์) | เจ้าหน้าที่บัญชีพิธี | บัญชีค่าใช้จ่ายพิธี | 49 | หญิง | ผมห่อมวย | แดงหม่น | ขาว | 5'3" | อวบ | เสื้อสำนักงาน | Large | รอบคอบ, สุภาพ | Yomi-no-Miyako |
|48  | Haruto Shimura (ญี่ปุ่น) | คนซ่อมบูม/โครง | ซ่อมแซมบูมและโครงยึด | 35 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างหนัก | - | กระตือรือร้น, ใฝ่รู้ | Yomi-no-Miyako |
|49  | Lucia Valerius (ละติน) | พ่อค้าใบยันต์ | ขายยันต์ปกปักษ์ | 38 | หญิง | มวยต่ำ | น้ำตาลเข้ม | ขาว | 5'5" | หุ่นดี | เสื้อผ้าพ่อค้า | Medium | เจรจาดี, รอบคอบ | Yomi-no-Miyako |
|50  | Hye-Jin (เกาหลี) | พนักงานบันทึกพิธี | จดบันทึกคำอธิษฐานและพิธี | 30 | หญิง | ผมหางม้าเรียบ | ดำ | เหลือง | 5'4" | ผอม | เสื้อสำนักงานพิธี | Small | แม่นยำ, สุภาพ | Yomi-no-Miyako |
|51  | Pietro Moreau (ฝรั่งเศส/ละติน) | ช่างแต่งเตาเผา | คุมเตาเผาและการเก็บเถ้า | 54 | ชาย | ผมปัดข้าง | เทาเข้ม | ขาว | 5'9" | มีกล้ามเล็กน้อย | เสื้อช่างเตา | - | เคร่งครัด, ใส่ใจ | Yomi-no-Miyako |
|52  | Yuna Kim (เกาหลี) | พนักงานขายอุปกรณ์พิธี | ขายริบบิ้นและผ้าคลุม | 31 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'3" | หุ่นดี | เสื้อพ่อค้าอุปกรณ์ | Medium | กระตือรือร้น, ช่วยเหลือดี | Yomi-no-Miyako |
|53  | Elias (กรีก) | ช่างปั้นรูปสัญลักษณ์ | ปั้นรูปหินสำหรับสุสาน | 40 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างปั้น | - | พิถีพิถัน, ใส่ใจศิลป์ | Yomi-no-Miyako |
|54  | Norah Quinn (ไอริช) | ขายของที่ระลึกจำพวกใบจารึก | แผงของที่ระลึกในย่านศพ | 33 | หญิง | ผมลอนยาว | แดงอ่อน | ขาว | 5'5" | หุ่นดี | เสื้อพ่อค้าของที่ระลึก | Medium | ร่าเริง, ช่างขาย | Yomi-no-Miyako |
|55  | Kenzo Mori (ญี่ปุ่น) | ช่างท่อแสง | ติดตั้งโคมไฟจราจรทางวิญญาณ | 37 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างไฟ | - | รอบคอบ, คล่องแคล่ว | Yomi-no-Miyako |
|56  | Svitlana (รัสเซีย) | ผู้จัดการลานเก็บของถวาย | ควบคุมลานรับของถวาย | 42 | หญิง | ผมห่อมวย | บลอนด์ | ขาว | 5'6" | หุ่นดี | ชุดผู้จัดการตลาด | Medium | เป็นระเบียบ, จริงจัง | Yomi-no-Miyako |
|57  | Aria Bell (อังกฤษแฟนตาซี) | นักแต่งเพลงสวด | แต่งเพลงปลอบขวัญ | 29 | หญิง | ผมบ๊อบลอน | บลอนด์ | ขาว | 5'6" | ผอม | ชุดนักดนตรีพิธี | Small | สร้างสรรค์, อ่อนโยน | Yomi-no-Miyako |
|58  | Bao Lin (จีน) | คนคัดขนสัตว์ | คัดขนนกและขนนกเทียม | 31 | ชาย | ผมมัด | ดำ | เหลือง | 5'7" | ผอม | เสื้อคลังขน | - | พิถีพิถัน, ขยัน | Yomi-no-Miyako |
|59  | Mireille Laurent (ฝรั่งเศส) | เจ้าหน้าที่แล็บสมุนไพร | คลังยารักษานกและคน | 48 | หญิง | ผมหยิกสั้น | บลอนด์ | ขาว | 5'6" | หุ่นดี | เสื้อแล็บสะอาด | Medium | รอบคอบ, มีตรรกะ | Yomi-no-Miyako |
|60  | Dae-Wook (เกาหลี) | คนขับลำเลียงตลาด | ขนส่งสินค้าไปยังย่านพิธี | 34 | ชาย | ผมสั้น | ดำ | เหลือง | 5'11" | มีกล้ามเล็กน้อย | เสื้อขับรถ | - | ขยัน, รวดเร็ว | Yomi-no-Miyako |
|61  | Noemi Alvarez (ละติน) | ผู้จัดการโลจิสติกพิธี | ประสานส่งของไปงานใหญ่ | 39 | หญิง | ผมหยักบ่า | น้ำตาลเข้ม | ผิวแทน | 5'6" | หุ่นดี | เสื้อผู้จัดการ | Medium | กระตือรือร้น, มีเครือข่าย | Yomi-no-Miyako |
|62  | Riku Tanaka (ญี่ปุ่น) | ช่างเหล็กตีตรา | ตีตราและตราประทับพิธี | 35 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างเหล็ก | - | ใส่ใจรายละเอียด, สุภาพ | Yomi-no-Miyako |
|63  | Isabella Rossi (อิตาลี) | เจ้าของโรงกลั่นน้ำมันหอม | ผลิตน้ำมันขับกลิ่นพิธี | 42 | หญิง | ผมบ๊อบลอน | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | เสื้อพ่อค้ากลิ่น | Medium | กล้าเสี่ยง, คิดไว | Yomi-no-Miyako |
|64  | Jiro Tan (ญี่ปุ่น) | พนักงานซ่อมโบสถ์ | ดูแลอาคารพิธีเก่า | 36 | ชาย | ผมสั้นปัด | ดำ | เหลือง | 5'7" | มีกล้ามเล็กน้อย | เสื้อช่างอาคาร | - | รอบคอบ, ขยัน | Yomi-no-Miyako |
|65  | Lianhua (จีน) | เจ้าของร้านเครื่องมือพิธี | ขายอุปกรณ์พิธีกรรม | 50 | หญิง | ผมห่อมวย | ดำ | เหลือง | 5'3" | อวบ | ชุดพ่อค้าช่าง | Large | จริงจัง, ธุรกิจเน้นงาน | Yomi-no-Miyako |
|66  | Fabian Cruz (ละติน) | นักประเมินมูลค่าพิธี | คำนวณมูลค่าของถวาย | 51 | ชาย | หนวดบาง | ดำ | ผิวแทน | 5'9" | ผอม | เสื้อสูทประเมิน | - | รอบคอบ, เจรจาเก่ง | Yomi-no-Miyako |
|67  | Nara (ญี่ปุ่น) | นักวิเคราะห์เสียงพิธี | วิเคราะห์จังหวะและเสียงสวด | 26 | หญิง | ผมบ๊อบสั้น | ดำ | เหลือง | 5'2" | ผอม | ชุดแล็บเสียง | Small | ใจเย็น, มีสมาธิ | Yomi-no-Miyako |
|68  | Rohan (อินเดียแฟนตาซี) | พนักงานคลังแห้ง | เก็บสมุนไพรและของแห้ง | 44 | ชาย | ผมยาวมัด | ดำ | น้ำตาลอ่อน | 5'10" | ผอม | เสื้อคลัง | - | ขยัน, ใส่ใจรายละเอียด | Yomi-no-Miyako |
|69  | Helena Argos (กรีก) | พนักงานพิธีศาล | จัดการพิธีกรรมรัฐ | 57 | หญิง | ผมห่อมวย | บลอนด์ | ขาว | 5'6" | หุ่นดี | เครื่องแต่งกายพิธีทางการ | Large | ยึดระเบียบ, สุภาพ | Yomi-no-Miyako |
|70  | Ken (ญี่ปุ่น) | ช่างทดสอบเชือกผูก | ทดสอบสายผูกศพและอุปกรณ์ | 32 | ชาย | ผมสั้น | ดำ | เหลือง | 5'8" | ผอม | เสื้อทดสอบ | - | พิถีพิถัน, ใจเย็น | Yomi-no-Miyako |
|71  | Marta (ยุโรปตะวันออก) | แม่ครัวทัพพิธี | ทำอาหารชุดสำหรับพิธีรวม | 46 | หญิง | ผมห่อมวย | แดงหม่น | ขาว | 5'4" | อวบ | ชุดเชฟพิธี | Large | แข็งแรง, ใจกว้าง | Yomi-no-Miyako |
|72  | Satoshi Inoue (ญี่ปุ่น) | ผู้ดูแลสมุดชื่อ | บันทึกชื่อผู้ล่วงลับรายวัน | 60 | ชาย | ผมบางเรียบ | เทา | เหลือง | 5'8" | ผอม | เสื้อคลุมบันทึก | - | เงียบ, แม่นยำ | Yomi-no-Miyako |
|73  | Olga Zhukova (รัสเซีย) | พนักงานคลังตำรา | ดูแลตำราพิธีและคาถา | 42 | หญิง | ผมห่อมวย | บลอนด์หม่น | ขาว | 5'4" | ผอม | ชุดนักห้องสมุด | Medium | รอบคอบ, ขยัน | Yomi-no-Miyako |
|74  | Lin Mei (จีน) | พนักงานรับจองพิธี | รับจองวันและเวลาพิธี | 31 | หญิง | ผมหางม้า | ดำเงา | เหลือง | 5'2" | ผอม | เสื้อสำนักงานพิธี | Small | สุภาพ, บริการดี | Yomi-no-Miyako |
|75  | Marco (อิตาลี) | เด็กส่งเอกสารพิธี | ส่งจดหมายและคำเชิญ | 19 | ชาย | ผมยุ่ง | น้ำตาลเข้ม | ขาว | 5'7" | ผอม | เสื้อส่งเอกสาร | - | ว่องไว, กระตือรือร้น | Yomi-no-Miyako |
|76  | Yuliana (รัสเซีย/ยุโรป) | ผู้จัดการเทศกาลรำลึก | ประสานงานงานใหญ่ประจำปี | 54 | หญิง | ผมหยักมวย | แดงเข้ม | ขาว | 5'5" | หุ่นดี | ชุดผู้จัดงาน | Large | จัดการเก่ง, มีวิสัยทัศน์ | Yomi-no-Miyako |
|77  | Kenzo Arai (ญี่ปุ่น) | ช่างผลิตเครื่องประดับศพ | ผลิตสร้อยและเครื่องประดับ | 36 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'8" | ผอม | เสื้อช่างประณีต | - | ประณีต, ใฝ่รู้ | Yomi-no-Miyako |
|78  | Irina Volkova (รัสเซีย) | พนักงานปลอบโยน | ให้คำปรึกษาญาติผู้ไว้ทุกข์ | 40 | หญิง | ผมห่อมวยต่ำ | บลอนด์ | ขาว | 5'6" | หุ่นดี | ชุดนักสังคมสงเคราะห์ | Medium | ใจดี, เป็นมิตร | Yomi-no-Miyako |
|79  | Asha Devi (อินเดียแฟนตาซี) | พ่อครัวขนมถวาย | ทำขนมถวายตามขนบ | 41 | หญิง | ผมห่มมวย | ดำ | น้ำตาลอ่อน | 5'3" | อวบ | ชุดครัวท้องถิ่น | Large | ใจดี, ขยัน | Yomi-no-Miyako |
|80  | Radu (ยุโรปตะวันออก) | พนักงานตลาดกลางคืน | ดูแลขายของช่วงกลางคืน | 35 | ชาย | ผมสั้นยุ่ง | ดำ | ขาว | 5'9" | ผอม | เสื้อพ่อค้าตลาด | - | ว่องไว, พรางตัวดี | Yomi-no-Miyako |
|81  | Linnea (นอร์ดิก) | นักแกะสลักสัญลักษณ์ | สลักสัญลักษณ์บนหินศพ | 46 | หญิง | ผมห่อมวย | บลอนด์ | ขาว | 5'6" | หุ่นดี | เสื้อช่างศิลป์ | Large | ใส่ใจ, มีฝีมือ | Yomi-no-Miyako |
|82  | Haruto (ญี่ปุ่น) | ช่างติดตั้งผ้าเกราะ | ติดผ้าคลุมศพและสัญลักษณ์ | 27 | ชาย | ผมยุ่ง | ดำ | เหลือง | 5'8" | ผอม | เสื้อช่างงานพิธี | - | ใส่ใจ, ขยัน | Yomi-no-Miyako |
|83  | Esme Laurent (ฝรั่งเศส) | พนักงานขายเครื่องดื่มบรรเทา | ขายชาพิเศษปลอบใจ | 34 | หญิง | ผมบ๊อบ | บลอนด์ | ขาว | 5'5" | หุ่นดี | ชุดบาร์เทนเดอร์พิธี | Medium | อบอุ่น, ช่างชิม | Yomi-no-Miyako |
|84  | Goran Petrescu (ยุโรปตะวันออก) | ช่างติดตั้งธง | ติดตั้งธงและผ้าคลุมพิธี | 52 | ชาย | ผมสั้น | เทา | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่าง | - | รับผิดชอบ, แข็งแรง | Yomi-no-Miyako |
|85  | Min-ji (เกาหลี) | พนักงานรับจองรันคิว | จัดลำดับพิธีและคิวคนเข้า | 28 | หญิง | ผมบ๊อบเรียบ | ดำ | เหลือง | 5'3" | ผอม | เสื้อสำนักงาน | Small | ใจดี, จัดการดี | Yomi-no-Miyako |
|86  | Rafael Mendes (โปรตุเกส) | พ่อค้ายางเทียน | ส่งเทียนพิธีไปต่างแดน | 41 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาวเมดิเตอร์เรเนียน | 5'9" | ผอม | เสื้อพ่อค้าเดินเรือ | - | ช่างต่อรอง, มีเครือข่าย | Yomi-no-Miyako |
|87  | Sizwe (แอฟริกาแฟนตาซี) | ผู้จัดการสหกรณ์ฟาร์ม | ประสานฟาร์มพืชและสมุนไพร | 49 | ชาย | ผมเกลี้ยง | ดำ | น้ำตาลเข้ม | 5'10" | มีกล้ามเล็กน้อย | เสื้อผู้จัดการสหกรณ์ | - | เป็นผู้นำ, ใจดี | Yomi-no-Miyako |
|88  | Noemi (ละติน) | ผู้จัดการการขนส่งพิธี | ประสานรถเกวียนและเรือ | 39 | หญิง | ผมหยักบ่า | น้ำตาลเข้ม | ผิวแทน | 5'6" | หุ่นดี | เสื้อผู้จัดการโลจิสติก | Medium | มีระเบียบ, กระตือรือร้น | Yomi-no-Miyako |
