| #  | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
| 31 | Elena Rossi (อิตาลี) | เจ้าของอินน์บิน | เจ้าของ Inn "The Roosting Room" | 46 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'6" | อวบ | ชุดโฮสเทลหรู | Large | ต้อนรับดี, ช่างจัดการ | The Great Roost |
| 32 | Park Min-Su (เกาหลี) | ช่างฟื้นฟูปีก | ซ่อมแซมปีกหัตถกรรม | 29 | ชาย | ผมบ๊อบสั้น | ดำ | เหลือง | 5'9" | ผอม | เสื้อช่างละเอียด | - | ใจเย็น, ช่างฝีมือ | The Great Roost |
| 33 | Lajos Varga (ฮังการี/ยุโรป) | พ่อค้าครัวซองต์รัง | ขายขนมประจำ Roost Market | 37 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'10" | หุ่นดี | ผ้ากันเปื้อนขนม | - | ร่าเริง, ขยัน | The Great Roost |
| 34 | Sora (ญี่ปุ่น) | เด็กส่งจดหมายอากาศ | ส่งข้อความโดยนกส่งจดหมาย | 21 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'3" | Tiny | ชุดส่งจดหมาย | Tiny | ว่องไว, กล้าหาญ | The Great Roost |
| 35 | Mateo Silva (ละติน) | นายหน้าสายการบินท้องถิ่น | ประสานเที่ยวบินพาณิชย์ | 42 | ชาย | ผมปัดข้าง | ดำสนิท | ขาว | 5'9" | ผอม | เสื้อสูทพาณิชย์ | - | เจรจาเก่ง, รอบรู้เส้นทาง | The Great Roost |
| 36 | Linh (เวียดนาม/แฟนตาซีเอเชีย) | พนักงานดูแลรังสูง | ทำความสะอาดและเตรียมรัง | 27 | หญิง | ผมบันต่ำ | น้ำตาลดำ | เหลือง | 5'2" | ผอม | ชุดดูแลรัง | Small | ขยัน, ใจดี | The Great Roost |
| 37 | Fergus O'Connell (ไอริช) | เลขานุการ Guild Roost | บันทึกการค้าและใบอนุญาต | 50 | ชาย | ผมม้วน | แดงจาง | ขาว | 5'8" | ผอม | เสื้อเจ้าหน้าที่กิลด์ | - | เป็นมิตร, มีความเป็นระเบียบ | The Great Roost |
| 38 | Yuna Kim (เกาหลี) | พนักงานขายแผงอุปกรณ์บิน | ขายฮาร์เนสและเชือก | 31 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'3" | หุ่นดี | เสื้อพ่อค้าอุปกรณ์ | Medium | กระตือรือร้น, ช่วยเหลือดี | The Great Roost |
| 39 | Darius Voss (กรีก/ยุโรป) | นักตีเหรียญรัง | ผลิตเหรียญที่ระลึก The Roost | 56 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อช่างเหล็ก | - | ภูมิฐาน, ชำนาญฝีมือ | The Great Roost |
| 40 | Mei-Ju (จีน) | พนักงานสาธารณูปโภคลม | ควบคุมวาล์วลมรอบ Roost | 43 | หญิง | ผมมวยต่ำ | ดำ | เหลือง | 5'4" | หุ่นดี | ชุดช่างระบบลม | Medium | ระมัดระวัง, รับผิดชอบ | The Great Roost |
| 41 | Nikol (รัสเซีย) | ผู้ควบคุมสต็อกไข่ | คลังไข่กลาง The Great Roost | 49 | ชาย | ผมสั้น | เทาเข้ม | ขาว | 5'10" | ผอม | เสื้อคลัง | - | รอบคอบ, ซื่อสัตย์ | The Great Roost |
| 42 | Aiko (ญี่ปุ่น) | เจ้าของร้านเครื่องรางนก | ขายเครื่องรางปกป้องรัง | 36 | หญิง | ผมหยักยาว | ดำเงา | เหลือง | 5'2" | หุ่นดี | ชุดพ่อค้าอาร์ต | Small | ลึกลับ, ใจดี | The Great Roost |
| 43 | Rafael Ortega (สเปน/ละติน) | คนกลางการค้าขนนก | นายหน้าขายขนนกส่งออก | 40 | ชาย | หนวดบาง | ดำ | ผิวแทน | 5'9" | ผอม | เสื้อพ่อค้าเดินทาง | - | ช่างต่อรอง, มีเครือข่าย | The Great Roost |
| 44 | Hana Seo (เกาหลี) | พนักงานรักษาพยาบาลนก | ช่วยดูแลลูกนกที่เจ็บป่วย | 29 | หญิง | ผมห่อมวย | ดำ | เหลือง | 5'3" | ผอม | ชุดพยาบาลสัตว์ | Small | อ่อนโยน, ใส่ใจ | The Great Roost |
| 45 | Lucia Valerius (ละติน) | ช่างทำเครื่องกางปีก | ผลิตชิ้นส่วนปีกเทียม | 38 | หญิง | มวยต่ำถนัด | น้ำตาลเข้ม | ขาว | 5'5" | หุ่นดี | เสื้อช่างละเอียด | Medium | พิถีพิถัน, มีไหวพริบ | The Great Roost |
| 46 | Kenjiro Okada (ญี่ปุ่น) | ช่างทดสอบลม | ตรวจความปลอดภัยทางอากาศ | 34 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อทดสอบ | - | รอบคอบ, กล้าตัดสินใจ | The Great Roost |
| 47 | Petra Novak (ยุโรป) | เจ้าหน้าที่ศุลกากรตลาด | ตรวจสินค้านำเข้า-ส่งออก | 46 | หญิง | ผมห่อมวยต่ำ | แดงเข้ม | ขาว | 5'6" | หุ่นดี | ชุดศุลกากร | Medium | เคร่งครัด, เป็นระบบ | The Great Roost |
| 48 | Satoshi Inoue (ญี่ปุ่น) | คนสร้างของเล่นนกกล | ผลิตของเล่น/โมเดลนก | 27 | ชาย | ผมยุ่ง | ดำ | เหลือง | 5'7" | ผอม | เสื้อศิลป์ช่าง | - | สร้างสรรค์, ใฝ่รู้ | The Great Roost |
| 49 | Emilia Duarte (ละติน) | ผู้จัดการเทศกาล Roostfest | ประสานงานงานประจำปี | 39 | หญิง | ผมห่มมวย | น้ำตาลทอง | ขาว | 5'5" | หุ่นดี | ชุดผู้จัดงาน | Medium | กระตือรือร้น, จัดการเก่ง | The Great Roost |
| 50 | Bao Lin (จีน) | พนักงานคัดขนนก | คัดคุณภาพขนส่งออก | 31 | ชาย | ผมมัด | ดำ | เหลือง | 5'7" | ผอม | เสื้อคลังขน | - | พิถีพิถัน, ขยัน | The Great Roost |
| 51 | Fiona MacLeod (สกอตแลนด์) | เด็กเสิร์ฟ Sky-inn | Inn near Rooftop Perches | 22 | หญิง | ผมหางม้า | แดง | ขาว | 5'3" | Tiny | ชุดเสิร์ฟอบอุ่น | Small | ร่าเริง, กระตือรือร้น | The Great Roost |
| 52 | Dmitri Volkov (รัสเซีย) | พนักงานนับปีก | บันทึกสต็อกปีกแปรรูป | 43 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'10" | ผอม | เสื้อสำนักงานคลัง | - | แม่นยำ, เงียบขรึม | The Great Roost |
| 53 | Asha Devi (อินเดียแฟนตาซี) | แม่ครัวส่วนกลาง | ครัวกลางตลาด Roost | 41 | หญิง | ผมห่มมวย | ดำ | น้ำตาลอ่อน | 5'3" | อวบ | ชุดเชฟท้องถิ่น | Large | ใจดี, เคร่งครัดเรื่องรสชาติ | The Great Roost |
| 54 | Lorenzo Gallo (อิตาลี) | ช่างทำถาดเก็บไข่ | ผลิตภาชนะปกป้องไข่ | 40 | ชาย | ผมหวีข้าง | น้ำตาลเข้ม | ขาวเมดิเตอร์เรเนียน | 5'8" | หุ่นดี | เสื้อช่างไม้ | - | ใส่ใจรายละเอียด, ใจดี | The Great Roost |
| 55 | Yelena Smirnov (รัสเซีย) | ผู้คุมโซนกลางตลาด | ดูแลแผงขายกลาง | 36 | หญิง | ผมหยักมวย | บลอนด์หม่น | ขาว | 5'5" | หุ่นดี | ชุดพนักงานตลาด | Medium | จริงจัง, มีระเบียบ | The Great Roost |
| 56 | Haruto Mizuki (ญี่ปุ่น) | ช่างแกะสลักบูม | ทำเครื่องหมายการขึ้นลง | 29 | ชาย | ผมยุ่ง | ดำ | เหลือง | 5'8" | ผอม | เสื้อช่างแกะ | - | ประณีต, ใส่ใจความปลอดภัย | The Great Roost |
| 57 | Marisol Cruz (ละติน) | พนักงานขายยา | แผงยาสำหรับนกและคน | 47 | หญิง | ผมห่มมวย | น้ำตาลอ่อน | ผิวสองสี | 5'4" | อวบ | ชุดพ่อค้ายา | Large | ใจดี, มีความรู้สมุนไพร | The Great Roost |
| 58 | Kento Saito (ญี่ปุ่น) | นักตรวจหนี้ระบบ | ตรวจยอดแลกเปลี่ยนตลาด | 34 | ชาย | ผมปัดข้าง | ดำ | เหลือง | 5'9" | ผอม | เสื้อสำนักงาน | - | รอบคอบ, มีระเบียบ | The Great Roost |
| 59 | Isla Navarro (สเปน) | เจ้าของตึกรังเช่า | ให้เช่าพื้นที่รังแก่พ่อค้า | 51 | หญิง | ผมหยักยาว | แดงเข้ม | ขาว | 5'6" | อวบ | ชุดผู้จัดการอสังหา | Large | รัดกุม, เจรจาดี | The Great Roost |
| 60 | Tae-Jun (เกาหลี) | ช่างประกอบกรงเหล็ก | ผลิตกรงขนาดกลาง | 38 | ชาย | ผมมัด | ดำ | เหลือง | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างโลหะ | - | ขยัน, ฝีมือหนักแน่น | The Great Roost |
| 61 | Corinne Valois (ฝรั่งเศส) | นักประดับปีก | ประดิษฐ์เครื่องประดับปีก | 35 | หญิง | ผมบ๊อบลอน | น้ำตาลทอง | ขาว | 5'5" | หุ่นดี | ชุดดีไซน์หัตถกรรม | Medium | สร้างสรรค์, เจ้ารสนิยม | The Great Roost |
| 62 | Mikhail Orlov (รัสเซีย) | ผู้คุมอุปกรณ์บิน | จัดหาและซ่อมอุปกรณ์ Skygear | 54 | ชาย | หัวล้าน | เทา | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อคลังอุปกรณ์ | - | จริงจัง, มืออาชีพ | The Great Roost |
| 63 | Lian Hua (จีน) | ช่างผลิตรังกระดาษ | ทำรังชั่วคราว/บ้านนก | 30 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'3" | ผอม | เสื้อช่างกระดาษ | Small | ละเอียด, ขยัน | The Great Roost |
| 64 | Eirik Thorsen (สแกนดิเนเวีย) | ผู้รวบรวมเรื่องลม | บันทึกสภาพลมประจำวัน | 46 | ชาย | หนวดเครา | ขาวหม่น | ขาว | 5'9" | หุ่นดี | เสื้อField Journal | - | ใฝ่รู้, มีระเบียบ | The Great Roost |
| 65 | Noemi Alvarez (ละติน) | ผู้จัดการการขนส่งตลาด | ประสานส่งไข่และขนนก | 39 | หญิง | ผมหยักบ่า | น้ำตาลเข้ม | ผิวแทน | 5'6" | หุ่นดี | เสื้อผู้จัดการ | Medium | กระตือรือร้น, รู้จักคน | The Great Roost |
| 66 | Ken (ญี่ปุ่น) | ช่างทดสอบแรงปีก | ทดสอบความทนทานของปีก | 32 | ชาย | ผมสั้น | ดำ | เหลือง | 5'8" | ผอม | เสื้อทดสอบ | - | พิถีพิถัน, ใจเย็น | The Great Roost |
| 67 | Olga Mirov (รัสเซีย) | เจ้าหน้าที่ใบอนุญาตขาย | ออกใบอนุญาตแผงตลาด | 41 | หญิง | ผมห่อมวย | บลอนด์หม่น | ขาว | 5'4" | ผอม | ชุดราชการตลาด | Medium | เคร่งครัด, เป็นระบบ | The Great Roost |
| 68 | Finn O'Brian (เคลต์) | ช่างซ่อมโครงไม้สูง | ซ่อมบันไดและโครงไม้ | 36 | ชาย | ผมยาวมัด | แดงอ่อน | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างไม้ | - | กล้า, ช่างฝีมือ | The Great Roost |
| 69 | Rei Tan (ญี่ปุ่น/จีนผสม) | นักเขียนป้ายตลาด | ทำป้ายคุณภาพและชื่อร้าน | 27 | หญิง | ผมบ๊อบเรียบ | ดำ | เหลือง | 5'3" | ผอม | เสื้อศิลป์ | Small | ช่างออกแบบ, เจ้ารสนิยม | The Great Roost |
| 70 | Marco (อิตาลี) | เด็กส่งเครื่องมือ | ส่งเครื่องมือให้ช่างทั่ว Roost | 18 | ชาย | ผมยุ่ง | น้ำตาลเข้ม | ขาว | 5'7" | ผอม | เสื้อส่งของ | - | ว่องไว, กระตือรือร้น | The Great Roost |
| 71 | Signe (นอร์ดิก) | ผู้ชำนาญการผสมอาหารนก | ทำอาหารพิเศษสำหรับพันธุ์หายาก | 44 | หญิง | ผมห่อมวย | ขาวหม่น | ขาว | 5'3" | หุ่นดี | ชุดครัวหัตถกรรม | Large | ประณีต, ใส่ใจสุขภาพ | The Great Roost |
| 72 | Elias Koris (กรีก) | ผู้ทดสอบถ่วงน้ำหนัก | คัดน้ำหนักสินค้าก่อนส่ง | 38 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'10" | ผอม | เสื้อชั่งน้ำหนัก | - | แม่นยำ, เก็บข้อมูลดี | The Great Roost |
| 73 | Mei-Rong (จีน) | พนักงานบริการ Guest Loft | รับจองที่พักนักเดินทาง | 31 | หญิง | ผมหางม้า | ดำเงา | เหลือง | 5'2" | ผอม | ชุดรับรองแขก | Small | สุภาพ, บริการดี | The Great Roost |
| 74 | Yuri Antonov (รัสเซีย) | ช่างทดสอบคอมเพรสเซอร์ลม | ตรวจระบบลมยก | 45 | ชาย | หนวดบาง | เทา | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อช่างเครื่อง | - | รอบคอบ, ใฝ่รู้ | The Great Roost |
| 75 | Lila Fontana (ละติน/อิตาลี) | เจ้าของร้านเครื่องเทศรัง | ขายเครื่องเทศสำหรับอาหารนกและคน | 36 | หญิง | ผมหยิกสั้น | น้ำตาลทอง | ขาว | 5'4" | หุ่นดี | ชุดพ่อค้าเครื่องเทศ | Medium | ร่าเริง, ช่างคัด | The Great Roost |
| 76 | Kwon Dae-Sung (เกาหลี) | พนักงานฝึกนกขนส่ง | ช่วยฝึกนกส่งของข้ามเขต | 33 | ชาย | ผมสั้นเรียบ | ดำ | เหลือง | 5'9" | ผอม | เสื้อฝึก | - | ใจเย็น, อดทน | The Great Roost |
| 77 | Aria Bell (อังกฤษ/แฟนตาซี) | นักแต่งเพลงรัง | แต่งทำนองเรียกลูกนก | 29 | หญิง | ผมบ๊อบลอน | บลอนด์ | ขาว | 5'6" | ผอม | ชุดนักดนตรี | Small | สร้างสรรค์, อ่อนโยน | The Great Roost |
| 78 | Pavel Kuznetsov (รัสเซีย) | เจ้าหน้าที่ตรวจคุณภาพขนนก | ตรวจสภาพขนก่อนประมูล | 48 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'10" | ผอม | เสื้อห้องตรวจ | - | พิถีพิถัน, จริงจัง | The Great Roost |
| 79 | Xiuying (จีน) | ช่างทำเคลือบไข่ | ลงเคลือบป้องกันไข่ราคาสูง | 40 | หญิง | ผมห่อมวย | ดำเงา | เหลือง | 5'3" | หุ่นดี | เสื้อช่างละเอียด | Medium | ประณีต, ใจเย็น | The Great Roost |
| 80 | Leif Hansen (นอร์ดิก) | คนขับลำเลียงอากาศ | บังคับ Sky-cart ข้าม Roost | 35 | ชาย | ผมสั้น | บลอนด์หม่น | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อขับขี่ | - | กล้าหาญ, หนักแน่น | The Great Roost |
| 81 | Minerva Sol (ละติน/กรีกผสม) | นักออกแบบตรารัง | ทำตราสัญลักษณ์ฟาร์มและแผง | 43 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดดีไซน์ศิลป์ | Medium | ช่างคิด, มีสไตล์ | The Great Roost |
| 82 | Hoon Park (เกาหลี) | พนักงานควบคุมเสียงสัญญาณ | ตั้งสัญญาณเตือนลม | 29 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'8" | ผอม | เสื้อวิศวกรเสียง | - | ระมัดระวัง, มีสมาธิ | The Great Roost |
| 83 | Esme Laurent (ฝรั่งเศส) | เจ้าของร้านเครื่องดื่มรัง | ขายเครื่องดื่มพิเศษตามฤดูกาล | 34 | หญิง | ผมบ๊อบ | บลอนด์ | ขาว | 5'5" | หุ่นดี | ชุดบาร์เทนเดอร์ | Medium | อบอุ่น, ช่างชิม | The Great Roost |
| 84 | Goran Petrescu (ยุโรปตะวันออก) | ช่างสายเคเบิล | ติดตั้ง-ตรวจสายเชื่อมต่อรัง | 52 | ชาย | ผมสั้น | เทา | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างแข็งแรง | - | รับผิดชอบ, อดทน | The Great Roost |
| 85 | Min-ji (เกาหลี) | พนักงานรับจองรัง | รับจองพื้นที่รังสำหรับพ่อค้า | 28 | หญิง | ผมบ๊อบเรียบ | ดำ | เหลือง | 5'3" | ผอม | เสื้อสำนักงาน | Small | ใจดี, จัดการดี | The Great Roost |
| 86 | Rafael Mendes (โปรตุเกส/ละติน) | พ่อค้าส่งออกขนนก | ส่งขนนกไปต่างดินแดน | 41 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาวเมดิเตอร์เรเนียน | 5'9" | ผอม | เสื้อพ่อค้าเดินเรือ | - | ช่างต่อรอง, มีเครือข่าย | The Great Roost |
| 87 | Sizwe (แอฟริกาแฟนตาซี) | ผู้จัดการสหกรณ์ฟาร์ม | ประสานกลุ่มฟาร์มรัง | 49 | ชาย | ผมเกลี้ยง | ดำ | น้ำตาลเข้ม | 5'10" | มีกล้ามเล็กน้อย | เสื้อผู้จัดการสหกรณ์ | - | เป็นผู้นำ, ใจดี | The Great Roost |
| 88 | Norah Quinn (ไอริช) | นักขายของที่ระลึก | แผงของที่ระลึก The Roost | 33 | หญิง | ผมลอนยาว | แดงอ่อน | ขาว | 5'5" | หุ่นดี | เสื้อพ่อค้าของที่ระลึก | Medium | ร่าเริง, ช่างขาย | The Great Roost |
| 89 | Kenzo Mori (ญี่ปุ่น) | ช่างท่ออากาศ | ซ่อมท่อส่งลมหรือระบบลอย | 30 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างท่อ | - | รอบคอบ, คล่องแคล่ว | The Great Roost |
| 90 | Bianca Rossi (อิตาลี) | พนักงานประมูลขน | จัดประมูลขนนกคุณภาพสูง | 38 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดพิธีประมูล | Medium | โน้มน้าว, เชี่ยวชาญราคา | The Great Roost |
