| # | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมือง |
|10 | เบลา ฟอนเต้ | เด็กเสิร์ฟ | บาร์ของ Guildwheel Plaza | 19 | หญิง | ผมหางม้าเตี้ย | น้ำตาลจาง | ขาว | 5'2" | ผอม | ชุดเสิร์ฟเรียบง่าย | Small | ร่าเริง, ว่องไว | Ardinia |
|11 | แซมิน เดอแวร์ | ผู้จัดการคลังสินค้า | คลังสินค้า Canal Markets | 50 | ชาย | หัวล้านเล็ก | เทาอ่อน | ผิวแทน | 5'8" | ผอม | เสื้อช่างคลัง, เข็มขัดเครื่องมือ | - | จริงจัง, ระเบียบ | Ardinia |
|12 | ฟีอา โนเวล | พ่อค้ากาแฟ | แผงกาแฟใกล้สะพาน | 30 | หญิง | ผมลอนสั้น | ดำ | ผิวสองสีอ่อน | 5'3" | หุ่นดี | ผ้ากันเปื้อนลาย | Medium | ขี้เล่น, ช่างคุย | Ardinia |
|13 | อิมริค สตอล | นักบัญชี | ธนาคารวาเลรอนเนส (บัญชีกลาง) | 46 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'9" | ผอม | เสื้อเชิ้ตเรียบ, ถุงมือหนังบาง | - | เยือกเย็น, ตรงไปตรงมา | Ardinia |
|14 | โซเฟีย คาร์เรรา | เจ้าของร้านเครื่องประดับ | ร้านแถว Guildwheel | 33 | หญิง | ผมยาวตรง | ทองน้ำผึ้ง | ขาว | 5'6" | หุ่นดี | ชุดผ้าซาติน, เครื่องประดับหรู | Small | ภูมิฐาน, เจ้าเสน่ห์ | Ardinia |
|15 | ฮัล วอลเกรน | คนขนส่งคาราวาน | ผู้ประสานคาราวาน | 38 | ชาย | ผมกะลาสีสั้น | ดำปะการัง | ผิวคล้ำ | 6'0" | มีกล้ามเนื้อ | เสื้อคลุมกันฝุ่น, ถุงมือหนัง | - | กล้าตัดสินใจ, จริงใจ | Ardinia |
|16 | มาเรีย โนเอล | นักจัดการประมูล | เวทีประมูลสินค้าวิเศษ | 42 | หญิง | ผมม้วนปลาย | น้ำตาลเข้ม | ขาว | 5'5" | หุ่นดี | ชุดผู้ประกาศอย่างเป็นทางการ | Medium | มีเสน่ห์, ช่างโน้มน้าว | Ardinia |
|17 | ดานิโล ริเวรา | เจ้าของโรงเก็บเรือ | ท่าเรือ Sea Gate | 55 | ชาย | ผมหงอกมัด | เกาลัดเข้ม | ผิวแดด | 5'11" | มีกล้ามเนื้อ | ชุดช่างเรือหนา | - | ขรึม, ช่างซ่อม | Ardinia |
|18 | แอนนา เทรซ่า | ศิลปินผนัง | จัตุรัสกงล้อกิลด์ (ตกแต่งร้าน) | 28 | หญิง | ผมบ๊อบซอย | แดงเข้ม | ขาว | 5'4" | ผอม | เสื้อผ้าศิลปินเปื้อนสี | Small | สร้างสรรค์, แปลกใจง่าย | Ardinia |
|19 | มาร์โค เบอร์ติ | เจ้าหน้าที่ภาษีท่าเรือ | เก็บค่าธรรมเนียมท่าเรือ | 47 | ชาย | ผมปัดหลัง | น้ำตาลเข้ม | ขาวโทนอบอุ่น | 5'10" | หุ่นดี | เครื่องแบบทางการ | - |เข้มงวด, ปฏิบัติตามกฎ | Ardinia |
|20 | อีวาน คอสต้า | ช่างซ่อมแผงเรือ | Canal Markets | 31 | ชาย | ผมเปียสั้น | ดำ | ผิวคล้ำ | 5'8" | หุ่นดี | เสื้อช่าง, ผ้าพันคอ | - | อดทน, จริงใจ | Ardinia |
|21 | โอเฟเลีย มิลเลอร์ | นักออกใบอนุญาต | สภาวาเลรอนเนส (สำนักงานกิลด์) | 39 | หญิง | ผมห่อมวยต่ำ | น้ำตาลอ่อน | ขาวซีด | 5'7" | หุ่นดี | ชุดขุนนางกลาง, เข็มกลัดกิลด์ | Medium | กระตือรือร้น, ถูกต้องตามกฎหมาย | Ardinia |
|22 | ราฟาเอล มิคามิ | คนขับเกวียนตลาด | Brick District | 26 | ชาย | ผมยุ่งกลาง | ดำ | ผิวคล้ำ | 5'9" | มีกล้ามเนื้อ | เสื้อคลุมผ้าหนา | - | ซื่อสวย, ขยัน | Ardinia |
|23 | กราเซีย โตเรส | เจ้าของร้านส้มตำ (ของต่างถิ่น) | Canal Markets | 34 | หญิง | ผมยาวม้วน | น้ำตาลเข้ม | ผิวสองสี | 5'3" | หุ่นดี | เสื้อพ่อค้า, ผ้าพันคอสีสด | Medium | กระตือรือร้น, เป็นมิตร | Ardinia |
|24 | เฟลิกซ์ มอเรโน่ | คนขายเครื่องมือเดินเรือ | ท่าเรือ Sea Gate | 45 | ชาย | ผมสั้นเรียบ | เทาอ่อน | ผิวแทน | 5'10" | หุ่นดี | เสื้อช่างเรือ | - | รอบรู้, กระตือรือร้น | Ardinia |
|25 | นาธาเนียล โคลด์ | นักจดทะเบียนสินค้า | Guildwheel Plaza | 51 | ชาย | ผมปัดข้างเกลี้ยง | หงอก | ขาว | 5'9" | ผอม | เสื้อคลุมสำนักงาน, แว่นตา | - | สุภาพ, ซื่อสัตย์ | Ardinia |
|26 | คลาเรตต้า ปิอาซา | เจ้าของแผงผักผลไม้ | Canal Markets | 29 | หญิง | ผมหางม้า | น้ำตาลทอง | ขาวโทนอบอุ่น | 5'2" | หุ่นดี | ผ้ากันเปื้อน, หมวกท้องตลาด | Small | อ่อนโยน, พูดจาเพราะ | Ardinia |
|27 | วินเซนต์ แอช | นักแลกเงิน | ธนาคารวาเลรอนเนส (money changer) | 44 | ชาย | ผมสั้นปัด | น้ำตาลเข้ม | ขาว | 5'8" | ผอม | เสื้อสูท, ถุงใส่เหรียญ | - | เจ้าเล่ห์, รัดกุม | Ardinia |
|28 | โรม่า เลอกรานด์ | พนักงานประมูลทาส (เอกสาร) | Workforce Auction Block | 37 | หญิง | ผมมวยเรียบ | ดำ | ขาว | 5'6" | หุ่นดี | ชุดพิธีการประมูล | Medium | สุภาพ, ไร้ความเห็นอกเห็นใจ | Ardinia |
|29 | แพทริก โคล | พนักงานทำความสะอาดคลอง | Canal Maintenance | 23 | ชาย | ผมสั้นเปียก | บลอนด์ | ขาวซีด | 5'7" | ผอม | เสื้อทำงานเปื้อนน้ำมัน | - | ตลก, ขยัน | Ardinia |
|30 | อลิเซีย บรูโน | นักออกแบบผ้า | เวิร์คช็อปย่าน Azure Isles | 31 | หญิง | ผมยาวถักเปีย | ดำเงา | ขาว | 5'5" | หุ่นดี | ชุดช่างผ้าแบบหรู | Small | สง่างาม, ภูมิฐาน | Ardinia |
|31 | มิเกล ซานโตส | โพยท์ (porter) ท่าเรือ | หัวหน้าพนักงานขนสินค้า | 40 | ชาย | ผมหยักเล็ก | น้ำตาลเข้ม | ผิวแทน | 5'9" | มีกล้ามเนื้อ | เสื้อกั๊กผ้าหนา | - | แข็งแรง, มีน้ำใจ | Ardinia |
|32 | เรเชล ฟาลคอน | นักข่าวท้องถิ่น | บรรณาธิการจัตุรัสกงล้อกิลด์ | 28 | หญิง | ผมบ๊อบข้างเดียว | แดงอ่อน | ขาว | 5'6" | ผอม | เสื้อผ้าทำงาน, แฟ้มเอกสาร | Medium | อยากรู้อยากเห็น, กล้าถาม | Ardinia |
|33 | ออสการ์ เวร่า | เจ้าของร้านเครื่องหนัง | Brick District | 47 | ชาย | ผมม้วนด้านหลัง | ฟอกสีเทา | ผิวคล้ำ | 5'8" | หุ่นดี | เสื้อหนัง, ผ้ากันเปื้อน | - | สุภาพ, ภูมิฐาน | Ardinia |
|34 | ไอเซลีน โมรา | นักบัญชีร้านค้า | Guildwheel Plaza | 33 | หญิง | ผมมิดหลังม้วน | น้ำตาลเข้ม | ขาว | 5'4" | ผอม | เสื้อเชิ้ต, กระโปรงยาว | Small | พิถีพิถัน, ตรงต่อเวลา | Ardinia |
|35 | เปโดร กอนซาเลซ | ผู้ดูแลสะพาน | Inscribed Bridge (ผู้รักษา) | 58 | ชาย | หัวล้าน | เทา | ขาว | 5'8" | ผอม | เสื้อคลุมหนา, สัญลักษณ์เมือง | - | เคร่งครัด, เชื่อประเพณี | Ardinia |
|36 | วิคตอเรีย ลังด์ | เจ้าของห้องโถงบรรทม | บ้านพักผู้มั่งคั่ง Azure Isles | 49 | หญิง | ผมหยักเป็นลอนยาว | ไวท์บลอนด์ | ขาวซีด | 5'7" | อวบ | ชุดคลาสสิกผ้าหรู | Large | สุขุม, รักความหรูหรา | Ardinia |
|37 | อัลฟอนโซ มาร์ติน | ผู้ประมวลแผนที่ | สำนักงานแผนที่ | 60 | ชาย | ผมปัดข้างเก่า | หงอก | ขาว | 5'6" | ผอม | เสื้อโค้ทช่าง, แว่นสายตา | - | เงียบขรึม, ช่างสังเกต | Ardinia |
|38 | เจสซิกา เรน | เด็กเสิร์ฟหรู | ห้องรับรอง Azure Isles | 21 | หญิง | ผมสั้นบ๊อบ | น้ำตาลทอง | ขาว | 5'3" | ผอม | ชุดเสิร์ฟหรู | Small | สุภาพ, กระตือรือร้น | Ardinia |
|39 | โรมัน กายา | เจ้าหน้าที่รักษาคิวตลาด | Guildwheel Plaza | 35 | ชาย | ผมปัดข้าง | ดำ | ผิวแทน | 5'10" | หุ่นดี | เสื้อกิลด์, เข็มกลัดสัญลักษณ์ | - | จริงจัง, ครบถ้วน | Ardinia |
|40 | พอลลินา ซานติ | นักจัดการโรงเก็บสินค้า | Canal Markets | 43 | หญิง | ผมหางม้าสูง | ดำสนิท | ผิวสองสี | 5'6" | หุ่นดี | เสื้อช่างคลัง | Medium | กล้าตัดสินใจ, ขี้ระวัง | Ardinia |
|41 | แฮโรลด์ เบเกอร์ | พ่อค้าเครื่องเทศ | Canal Markets | 37 | ชาย | ผมยาวมัดด้านหลัง | น้ำตาลเข้ม | ขาว | 5'9" | หุ่นดี | เสื้อผ้าพ่อค้า, ผ้าคลุมไหล่ | - | ขี้อ้อน, เจรจาดี | Ardinia |
|42 | ลีดา คอร์เตส | ช่างกระดาษ | ร้านพิมพ์จดหมายสัญญา | 54 | หญิง | ผมมวยเรียบ | เทาอ่อน | ขาวโทนอบอุ่น | 5'4" | อวบ | เสื้อช่างงาน, ผ้ากันเปื้อน | Large | ประณีต, ใจเย็น | Ardinia |
|43 | มาร์เซล โลล | ผู้จัดการท่าเรือย่อย | Sea Gate (ฝ่ายประสาน) | 41 | ชาย | ผมสั้นเรียบ | ดำ | ผิวแทน | 5'11" | หุ่นดี | เสื้อกิลด์ท่าเรือ | - | กระตือรือร้น, มีระเบียบ | Ardinia |
|44 | คาร่า เวลส์ | นักออกแบบหน้าร้าน | Brick District | 29 | หญิง | ผมบ๊อบลอน | น้ำตาลแดง | ขาว | 5'5" | หุ่นดี | ชุดดีไซน์เนอร์ | Small | แอบโรแมนติก, สร้างสรรค์ | Ardinia |
|45 | อาเบล เรย์ | คนคุมม้าลาก | Stables ใกล้ Trade Gate | 34 | ชาย | ผมมัดท้ายทวิสต์ | ดำ | ผิวแทน | 5'10" | มีกล้ามเนื้อ | ชุดคนเลี้ยงม้า | - | ใจดีต่อสัตว์, จริงจัง | Ardinia |
|46 | ฟรานเซสกา ลู | ผู้บัญชาการการขนส่งสินค้า | ศูนย์ขนส่งกิลด์ | 48 | หญิง | ผมหยักหลัง | ดำปานกลาง | ขาว | 5'7" | หุ่นดี | ชุดผู้จัดการทางการ | Medium | ควบคุมดี, รอบคอบ | Ardinia |
|47 | เอโดร อัลวา | ช่างปะแจ | ร้านซ่อมจุดต่าง ๆ ในเมือง | 39 | ชาย | ผมยุ่งสั้น | น้ำตาลเข้ม | ผิวสองสี | 5'8" | หุ่นดี | เสื้อช่าง, ผ้าพันคอ | - | ฝีมือดี, เงียบขรึม | Ardinia |
|48 | เบียงกา โมเรล | นักแปลเอกสาร | ธนาคาร & กิลด์ | 32 | หญิง | ผมยาวตรง | ดำเงา | ขาว | 5'5" | ผอม | ชุดนักวิชาการ, พกปากกา | Small | ใจเย็น, ฉลาด | Ardinia |
|49 | ดีแลน วูด | พนักงานท่าเรือ (โบรกเกอร์) | รับสั่งสินค้าว่าง | 27 | ชาย | ผมสั้นปัด | บลอนด์อ่อน | ผิวขาว | 5'9" | หุ่นดี | เสื้อท่าเรือ | - | กระตือรือร้น, แก่น | Ardinia |
|50 | เกรต้า ลอว์ | ผู้ดูแลตลาดสัตว์เลี้ยง | Canal Markets | 44 | หญิง | ผมหยักสั้น | เทาอมเขียว | ขาว | 5'6" | อวบ | เสื้อผ้าท้องตลาด, ผ้ากันเปื้อน | Large | อ่อนโยน, รักสัตว์ | Ardinia |
|51 | มาเก็ต โซเรล | คนคุมการประมูลสินค้าหายาก | Guild Auction House | 53 | หญิง | ผมห่อมวยสูง | ดำ | ขาวโทนอมชมพู | 5'8" | หุ่นดี | ชุดพิธีการสูง | Medium | เคร่งครัด, หยิ่ง | Ardinia |
|52 | ริคาร์โด ซิลวา | คนขับเรือขนสินค้าเล็ก | Canal Shuttle | 30 | ชาย | ผมเปียสั้น | น้ำตาลเข้ม | ผิวแทน | 5'10" | หุ่นดี | เสื้อกันฝนท่าเรือ | - | ขี้เล่น, เชื่อถือได้ | Ardinia |
|53 | ลอร่า ปิแอร์ | เจ้าของร้านตกแต่งเรือ | Sea Gate | 36 | หญิง | ผมยาวม้วนปลาย | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดช่างตกแต่ง | Medium | สร้างสรรค์, ประณีต | Ardinia |
|54 | มิเกลา โบนา | พนักงานจดบันทึกสัญญา | ศาลกิลด์เล็ก | 28 | หญิง | ผมสั้นบ๊อบ | แดงเข้ม | ขาว | 5'3" | ผอม | เสื้อเชิ้ตทำงาน, กระเป๋าเอกสาร | Small | เอาใจใส่, ตรงต่อเวลา | Ardinia |
|55 | โทเบียส เครน | พนักงานประมวลค่าเรือ | Bank of Valeronnes (settlement) | 45 | ชาย | ผมหงอกบาง | เทา | ขาว | 5'9" | ผอม | เสื้อสูทธนาคาร | - | ระมัดระวัง, มืออาชีพ | Ardinia |
|56 | เอมิลี โกรฟ | เด็กเสิร์ฟตลาด | Moonlit stall (ย่านกลาง) | 20 | หญิง | ผมเปียคู่ | น้ำตาลอ่อน | ผิวสองสี | 5'2" | ผอม | ชุดเสิร์ฟตลาด | Small | ร่าเริง, ว่องไว | Ardinia |
|57 | กุสตาโว ราโม่ | พ่อค้าส่ง | ผู้ค้าส่งผ้าและของแปรรูป | 54 | ชาย | ผมสั้นปัดขาว | หงอก | ผิวแทน | 5'11" | หุ่นดี | เสื้อผ้าพ่อค้าชั้นกลาง | - | เจ้าเล่ห์, ค้าขายชำนาญ | Ardinia |
|58 | โครินา สตีล | เจ้าของโรงสี | Brick District (ผู้บริหาร) | 46 | หญิง | ผมมวยต่ำ | ดำ | ขาว | 5'7" | หุ่นดี | ชุดช่างโรงสี | Large | เข้มแข็ง, จริงใจ | Ardinia |
|59 | แอชตัน บอล | พนักงานรับจดทะเบียนเรือ | Sea Gate Office | 38 | ชาย | ผมหวีหลบ | น้ำตาลอ่อน | ขาว | 5'10" | ผอม | เสื้อเสน่ห์ทางการ | - | เป็นมิตร, กระตือรือร้น | Ardinia |
|60 | นาเดีย โรซา | นักจัดดอกไม้ | แผงดอกไม้ Guildwheel | 27 | หญิง | ผมหยักยาว | บลอนด์ทอง | ผิวขาว | 5'4" | ผอม | ชุดพ่อค้า, พวงดอกไม้ | Small | โรแมนติก, สุภาพ | Ardinia |
|61 | จูเลียน เปเรซ | พนักงานตรวจคุณภาพสินค้า | ตลาดกลาง | 49 | ชาย | หัวล้าน | เทา | ผิวแทน | 5'8" | ผอม | เสื้อสัญลักษณ์เมือง | - | เคร่งครัด, ทุ่มเท | Ardinia |
|62 | รอซา มาติโอ | ผู้จัดการห้องเช่ารายวัน | เขต Brick District | 35 | หญิง | ผมรวบด้านหลัง | น้ำตาลเข้ม | ขาว | 5'5" | หุ่นดี | เสื้อผ้าท้องถิ่น | Medium | เป็นมิตร, ใจดี | Ardinia |
|63 | อมาดีโอ โล | ช่างซ่อมเรือใบ | Dockside Repair | 42 | ชาย | ผมยาวมัด | ดำ | ผิวแทน | 5'9" | มีกล้ามเนื้อ | เสื้อช่างเปื้อนน้ำมัน | - | หนักแน่น, ช่างฝีมือ | Ardinia |
|64 | ฟราแอนด้า โรเบิร์ต | นักดูแลห้องสมุดกิลด์ | ห้องสมุดจัตุรัส | 58 | หญิง | ผมขาวม้วน | หงอกขาว | ขาวซีด | 5'6" | อวบ | ชุดผู้รักษา, แว่น | Large | ใจดี, รู้เยอะ | Ardinia |
|65 | เรย์มอนด์ ฮอล | คนขับรถลาก | สาย Trade Gate | 31 | ชาย | ผมสั้นหวี | น้ำตาลเข้ม | ผิวคล้ำ | 5'11" | มีกล้ามเนื้อ | เสื้อชาวเมือง, ถุงมือ | - | ทะเยอทะยาน, ขยัน | Ardinia |
|66 | โซโลมอน เบนท์ | นักแปลกฎหมาย | สภาวาเลรอนเนส | 54 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'9" | ผอม | เสื้อสูท, ผ้าคลุมกฎหมาย | - | เนี้ยบ, รักระเบียบ | Ardinia |
|67 | มิรันดา จอร์ด | ผู้จัดการร้านดนตรี | Guildwheel Plaza (เครื่องดนตรี) | 30 | หญิง | ผมยาวลอนกลาง | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดศิลปินสุภาพ | Medium | ร่าเริง, รักศิลป์ | Ardinia |
|68 | ปาโบล เอสเตซ | เจ้าของตู้เก็บของ | Canal Markets (locker master) | 43 | ชาย | ผมเกรียน | ดำ | ผิวคล้ำ | 5'8" | หุ่นดี | เสื้อคนขายของ, ผ้าพันคอ | - | เจ้าเล่ห์, มีเครือข่าย | Ardinia |
|69 | นีนา บรูคส์ | หัวหน้าพนักงานทำความสะอาดตลาด | Guildwheel Plaza | 36 | หญิง | ผมหางม้ายาว | บลอนด์เข้ม | ขาว | 5'5" | หุ่นดี | ชุดทำความสะอาด | Medium | กระตือรือร้น, จริงจัง | Ardinia |
|70 | โอลิเวอร์ ซาเวจ | ผู้ดูแลเส้นทางคาราวาน | ทางเข้า Trade Gate | 47 | ชาย | ผมปัดข้างเรียบ | น้ำตาลเข้ม | ผิวแทน | 5'10" | หุ่นดี | เสื้อคลุมคาราวาน | - | รอบรู้, เยือกเย็น | Ardinia |
|71 | เอลิซาเบธ พาร์ค | เจ้าของร้านกาแฟชั้นสูง | ใกล้ Guildwheel Plaza | 34 | หญิง | ผมชี้ขึ้นเล็กน้อย | น้ำตาลแดง | ขาว | 5'5" | หุ่นดี | ชุดบริการหรู | Medium | สุภาพ, เจ้าระเบียบ | Ardinia |
|72 | นิโคลา อัลบา | ช่างทาสีแผง | Canal Markets | 29 | ชาย | ผมยุ่งสั้น | ดำ | ผิวสองสี | 5'9" | ผอม | เสื้อช่างเลอะสี | - | สนุกสนาน, สร้างสรรค์ | Ardinia |
|73 | เปาโล เวนิซ | คนดูแลเทศกาล | จัตุรัสกงล้อกิลด์ (งานเทศกาล) | 50 | ชาย | ผมบางกลาง | หงอก | ขาว | 5'8" | ผอม | เครื่องแบบเทศกาล | - | กระตือรือร้น, จัดการเก่ง | Ardinia |
|74 | มาเรีย เอสเตบัน | พนักงานเก็บค่าธรรมเนียมผ่านประตู | Trade Gate | 41 | หญิง | ผมมวยต่ำเรียบ | ดำ | ผิวแทน | 5'3" | หุ่นดี | เครื่องแบบเก็บค่าผ่าน | Medium | เข้มงวด, สุภาพ | Ardinia |
|75 | เวรา ลูคัส | เจ้าของร้านซ่อมนาฬิกา | Brick District | 62 | หญิง | ผมมวยสูง | ขาว | ขาวซีด | 5'2" | อวบ | เสื้อทำงานละเอียด | Tiny | อารมณ์ดี, ใจดี | Ardinia |
|76 | รีอาน โนเวส | พนักงานคัดแยกสินค้า | คลังกลาง Canal Markets | 24 | ชาย | ผมสั้นประบ่า | น้ำตาลอ่อน | ผิวสองสี | 5'7" | ผอม | เสื้อคลัง, ถุงมือ | - | ว่องไว, ขยัน | Ardinia |
|77 | เฟอร์นันโด วิน | เจ้าของร้านชวนเชื่อ | แผงข่าวลือจัตุรัส | 38 | ชาย | ผมปัดข้าง | ดำ | ผิวขาว | 5'9" | หุ่นดี | เสื้อคลุมเร่ขาย | - | ช่างพูด, ล่อใจ | Ardinia |
|78 | โคโรรินา มาร์ช | คนเย็บผ้า | Brick District (ช่างฝีมือ) | 45 | หญิง | ผมเกล้ามวย | น้ำตาลเข้ม | ขาว | 5'4" | อวบ | เสื้อช่างผ้า | Large | อดทน, รักครอบครัว | Ardinia |
|79 | นิโน่ เบลล่า | ผู้จัดการแผงปลา | Canal Markets (ใกล้ท่าเรือ) | 33 | ชาย | ผมปัดเรียบ | ดำ | ผิวคล้ำ | 5'7" | หุ่นดี | เสื้อผ้าท้องตลาด, ผ้ากันเปื้อนยาง | - | ขี้ลำไย, ขยัน | Ardinia |
|80 | เกรซ ฮาเว่น | นักแต่งคำสัญญา | ธนาคารและกิลด์ | 40 | หญิง | ผมเกล้าเรียบ | บลอนด์อ่อน | ขาว | 5'6" | หุ่นดี | เครื่องแบบนักเขียนเอกสาร | Medium | ระมัดระวัง, สุภาพ | Ardinia |
|81 | ยาค็อบ อีร์ | หัวหน้าพนักงานรักษาความสะอาดท่าเรือ | Sea Gate | 46 | ชาย | หัวล้าน | เทา | ผิวแทน | 5'9" | มีกล้ามเนื้อ | เสื้อคลุมหนาท่าเรือ | - | จริงจัง, ตรวจตราเก่ง | Ardinia |
|82 | มาเรียน่า มิร่า | พนักงานต้อนรับห้องออดิทอเรียม | Guildwheel Plaza (ฮอลล์) | 29 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'5" | หุ่นดี | ชุดต้อนรับหรู | Small | สุภาพ, กระตือรือร้น | Ardinia |
|83 | เอนริโก คาร์ล | ช่างซ่อมกระดิ่งเรือ | Dockside | 52 | ชาย | ผมปัดข้าง | หงอกปนดำ | ผิวแทน | 5'8" | หุ่นดี | เสื้อช่าง, ผ้าคลุม | - | ขรึม, เชี่ยวชาญ | Ardinia |
|84 | ดีอานา โรเช่ | พนักงานจดทะเบียนหุ้นกิลด์ | Guild Stock Market | 38 | หญิง | ผมบ๊อบเรียบ | น้ำตาลเข้ม | ขาว | 5'6" | ผอม | เสื้อทำงานธนาคาร | Medium | ใจเย็น, รอบคอบ | Ardinia |
|85 | แอนตัน เฟรย์ | ช่างทำพาหนะน้ำ | Sea Gate (เรือพ่วง) | 40 | ชาย | ผมเกรียน | ดำ | ผิวคล้ำ | 5'9" | มีกล้ามเนื้อ | เสื้อช่างเรือ | - | จริงใจ, มืออาชีพ | Ardinia |
|86 | เวโรนิกา มอนต์ | เจ้าหน้าที่ร่างสัญญา | Valeronnes Council Hall | 47 | หญิง | ผมหวีเรียบ | เทาเข้ม | ขาว | 5'7" | หุ่นดี | ชุดสุภาพทางการ | Medium | เยือกเย็น, เป็นกลาง | Ardinia |
|87 | โจวานนี รอสซี่ | พนักงานจัดส่งด่วน | ตลาดกลาง | 25 | ชาย | ผมยาวมัดต่ำ | ดำ | ผิวสองสี | 5'8" | ผอม | ชุดขนส่ง, ถุงพัสดุ | - | ว่องไว, กระตือรือร้น | Ardinia |
|88 | เอมีเลีย กอร์ดอน | นักทำบัญชีเล็ก ๆ | ร้านค้ารายย่อยใน Brick District | 31 | หญิง | ผมบ๊อบเรียบ | น้ำตาลอ่อน | ขาว | 5'4" | ผอม | เสื้อเชิ้ตทำงาน | Small | ขยัน, แม่นยำ | Ardinia |
|89 | โรดริโก ลูคัส | พนักงานคุมการขนส่งทางน้ำ | Canal Dock Control | 44 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ผิวแทน | 5'10" | หุ่นดี | เสื้อกิลด์ท่าเรือ | - | มีความรับผิดชอบ, จริงใจ | Ardinia |
|90 | เอเลน ยาร์ | ช่างซ่อมแผงไม้ | Canal Markets | 37 | หญิง | ผมหางม้าเตี้ย | ดำ | ผิวสองสี | 5'3" | หุ่นดี | เสื้อช่างไม้, ผ้ากันเปื้อน | Medium | อดทน, ช่างสังเกต | Ardinia |
|91 | มาร์คัส แวน | ผู้จัดการย่อยสำนักพิมพ์ | Guildwheel Plaza (เอกสาร) | 50 | ชาย | ผมปัดข้างเรียบ | เทา | ขาว | 5'9" | ผอม | เสื้อผ้าทำงาน, แว่น | - | สุภาพ, มีเหตุผล | Ardinia |
