| # | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|18 | ฟีเรน ดัส | เด็กส่งจดหมายทะเลจันทรา | หน่วยส่งจดหมาย Moonpetal | 22 | ชาย | ผมสั้นยุ่ง | ดำ | ผิวคล้ำอ่อน | 5'7" | ผอม | เสื้อส่งจดหมายสีกลีบ | - | ว่องไว, พูดจาน่าเชื่อถือ | Luminara |
|19 | อาลีธา เอ็น | เจ้าของหอศิลป์เล็ก | แกลเลอรี่ริมวงเวียน | 40 | หญิง | ผมสั้นเมขลา | น้ำเงินมุก | ขาวมุก | 5'6" | หุ่นดี | ชุดเจ้าของแกลเลอรี่ | Medium | มีรสนิยม, รักษ์ศิลป์ | Luminara |
|20 | โอเวน ไฟธ | ผู้คุมประตูชีวา | ผู้ดูแล Living Archways (การเข้าออก) | 61 | ชาย | หัวล้านมีลายสักเถา | เทา | ผิวอมน้ำตาล | 5'11" | หุ่นดี | เสื้อพิธีรักษ์ต้นไม้ | - | ใจดีแต่ระมัดระวัง | Luminara |
|21 | ซาราย เทล | พนักงานบันทึกคำสาบานบนสะพาน | เจ้าหน้าที่บันทึก Inscribed Bridge | 34 | หญิง | ผมหยักจีบ | เงินหม่น | ขาวมุก | 5'3" | ผอม | เสื้อพนักงานเอกสาร | Small | ละเอียด, ขรึม | Luminara |
|22 | ไมลอส อาเรน | เจ้าของโรงน้ำชายามราตรี | เจ้าของ Tea House ใกล้ Bazaar | 44 | ชาย | ผมมัดหลังต่ำ | ดำ | ผิวอ่อน | 5'9" | หุ่นดี | เสื้อโฮสต์ชา | - | สุภาพ, เป็นมิตร | Luminara |
|23 | เอลิเดีย โอว์ | พ่อค้าเครื่องดนตรีเวท | แผงเครื่องดนตรี Moonpetal | 29 | หญิง | ผมยาวตรง | น้ำตาลอ่อน | ขาวมุก | 5'4" | ผอม | ชุดพ่อค้าเครื่องดนตรี | Small | ร่าเริง, หลงใหลเสียงเพลง | Luminara |
|24 | ทาเวียน เชล | นักวาดลายประดับอาคาร | ทีมตกแต่ง Living Archways | 55 | ชาย | ผมหยิกสั้น | เทาอมเขียว | ขาวมุก | 5'8" | ผอม | ชุดศิลปินเปื้อนสี | - | ขี้เล่น, ช่างสังเกต | Luminara |
|25 | เบเลีย นู | พนักงานจัดแสดงตลาดกลางคืน | ผู้จัด Moonpetal Bazaar (เวที) | 38 | หญิง | ผมหางม้ายาว | ม่วงอ่อน | ผิวขาวมุก | 5'6" | หุ่นดี | ชุดผู้จัดกลางคืน | Medium | ตลก, จัดการเก่ง | Luminara |
|26 | เฟลิน ดอว์ | ช่างทำเครื่องรางแสงจันทร์ | ร้านเครื่องรางริมทะเลสาบ | 47 | ชาย | ผมเปียบาง | เงิน | ขาว | 5'9" | ผอม | เสื้อช่างเครื่องราง | - | ลึกลับ, ใจดี | Luminara |
|27 | นีรา คอร์ม | เด็กเสิร์ฟเรือนศิลป์ | Guesthouse ศิลปิน | 20 | หญิง | ผมบ๊อบเรียบ | บลอนด์เงิน | ขาวมุก | 5'2" | ผอม | ชุดเสิร์ฟเรียบหรู | Small | สุภาพ, ขยัน | Luminara |
|28 | อัลธาร์ เอลเลียน | ผู้คุมคลังไม้เวท | คลังทรัพยากรเมือง | 59 | ชาย | ผมมวยแน่น | เทา | ผิวคล้ำอ่อน | 6'1" | มีกล้ามเล็กน้อย | ชุดคลังแบบพิถีพิถัน | - | จริงจัง, ระเบียบ | Luminara |
|29 | คีร่า มัล | ช่างสลักคริสตัล | เวิร์กช็อปคริสตัล Bazaar | 33 | หญิง | ผมยาวปัดข้าง | ฟ้าอ่อน | ขาวมุก | 5'5" | หุ่นดี | ชุดช่างประณีต | Small | ขี้ประณีต, ขรึม | Luminara |
|30 | มอร์วิน เลอ | นักออกแบบชุดพิธี | ตัดชุดสำหรับขุนนาง/นักเต้น | 41 | ชาย | ผมยาวเรียบ | น้ำตาลเกาลัด | ผิววาว | 5'9" | หุ่นดี | ชุดดีไซน์เนอร์ | - | จู้จี้, ช่างพิถีพิถัน | Luminara |
|31 | ซารีน่า ฟอล์ค | พนักงานบำรุงทะเลสาบ | ช่วยดูแล Moonmirror Lake | 63 | หญิง | ผมถักมวยสูง | ขาวมุก | ขาวซีด | 5'6" | อวบ | ชุดผู้ดูแลธรรมชาติ | Large | ใจดี, มีปณิธาน | Luminara |
|32 | เฮลิก้า วิน | เจ้าหน้าที่ตรวจของศิลป์นำเข้า | ท่าเรือ/ตลาด (ฝ่ายตรวจ) | 52 | หญิง | ผมเกล้าต่ำ | ดำสนิท | ผิวขาวมุก | 5'5" | หุ่นดี | เครื่องแบบฝ่ายตรวจ | Medium | รอบคอบ, ดุดันเมื่อจำเป็น | Luminara |
|33 | โทเอล สตาร์ | ผู้จัดการหอศิลป์ใหญ่ | Curator แกลเลอรี่หลักเมือง | 70 | ชาย | ผมขาวเรียบ | เงินเงา | ขาวมุก | 5'10" | ผอม | เสื้อผู้คุมแกลเลอรี่ | - | สุภาพ, รู้ลึกด้านศิลป์ | Luminara |
|34 | นาเซล เต | พ่อค้าสมุนไพรหายาก | แผงกลาง Moonpetal Bazaar | 36 | ชาย | ผมยาวผูก | เขียวเข้ม | ผิวคล้ำอ่อน | 5'8" | หุ่นดี | เสื้อพ่อค้าสมุนไพร | - | เป็นมิตร, ให้คำแนะนำดี | Luminara |
|35 | เอลาน่า ไวท์ | เจ้าหน้าที่พิธีกรรมแสงจันทร์ | วัดวา/พิธีกรรมเมือง | 82 | หญิง | ผมยาวหลุดไหล | เงินขาว | ขาวมุก | 5'7" | หุ่นดี | เสื้อพิธีสีจันทร์ | Large | ใจดี, ลึกลับ | Luminara |
|36 | เวนดา ริล | ช่างติดตั้งกระจกสี Living Archways | ทีมก่อสร้างศิลปะ | 49 | หญิง | ผมห่อมวย | น้ำตาลเงิน | ขาว | 5'6" | หุ่นดี | ชุดช่างศิลป์ | Medium | รอบคอบ, แข็งแรง | Luminara |
|37 | เออร์ลิน โนวา | ผู้จัดการตลาดกลางคืน | Supervisor Moonpetal Bazaar | 46 | ชาย | ผมสั้นเรียบ | เทาอ่อน | ขาวมุก | 5'11" | ผอม | เสื้อผู้จัดการตลาด | - | สุภาพ, มีเหตุผล | Luminara |
|38 | ลีรา เคน | นักเขียนบทละครจันทรา | นักประพันธ์การแสดง Bazaar | 39 | หญิง | ผมบ๊อบมีลอน | แดงอ่อน | ขาว | 5'5" | ผอม | ชุดนักเขียนศิลป์ | Medium | มีจินตนาการ, เจ้าจิตวิทยา | Luminara |
|39 | คาลิน ธอร์ | ช่างทำเครื่องดนตรีไม้เงิน | เวิร์กช็อปกลางเมือง | 54 | ชาย | ผมเกรียนมีเครา | เทาเงิน | ผิวแทนอ่อน | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างไม้ | - | ใจดี, มีความอดทน | Luminara |
|40 | อิร่า เมด | พนักงานบันทึกการประมูล | Workforce Auction Block (ฝ่ายรายงาน) | 30 | หญิง | ผมสั้นประบ่า | น้ำตาลทอง | ขาวมุก | 5'3" | ผอม | เสื้อพนักงานเอกสาร | Small | ตรงต่อเวลา, รอบคอบ | Luminara |
|41 | ซานเทล โร | ผู้จัดการที่พักสำหรับนักเต้น | Boarding House ใกล้ Bazaar | 43 | ชาย | ผมยาวมัดหลวม | ดำเงา | ผิวอ่อน | 5'9" | หุ่นดี | ชุดเจ้าของบ้านพัก | - | ใจดี, ค้าขายชาญฉลาด | Luminara |
|42 | มิเซล เรน | ช่างตัดผมศิลป์ | ร้านเสริมสวยย่านศิลป์ | 27 | หญิง | ผมสั้นเทรนด์ | เงินมุก | ขาวมุก | 5'4" | ผอม | เสื้อช่างสวยงาม | Small | ขี้เล่น, ช่างสไตล์ | Luminara |
|43 | ฮาริน เวล | พนักงานดูแล Stellabond Quest Board | ศูนย์ข่าว/กระดานภารกิจ (เมือง) | 35 | ชาย | ผมปัดข้างเรียบ | น้ำตาลเข้ม | ผิวขาวมุก | 5'9" | ผอม | ชุดพนักงานข้อมูล | - | ข้อมูลแน่น, เป็นมิตร | Luminara |
|44 | อาเกล่า ไท | พ่อค้าของตกแต่งบ้านไม้เงิน | แผง Bazaar ใกล้สะพาน | 50 | หญิง | ผมมวยสูง | ทองหม่น | ขาวมุก | 5'5" | อวบ | ชุดพ่อค้าศิลป์ | Large | ใจดี, ตกแต่งเก่ง | Luminara |
|45 | เวลิน โคร์ | เจ้าหน้าที่ออกใบอนุญาตการแสดง | สำนักศิลป์เมือง | 48 | ชาย | ผมปัดหลัง | เทา | ขาว | 5'10" | ผอม | ชุดราชการศิลป์ | - | เคร่งครัด, จริงจัง | Luminara |
|46 | เนล่า มิร์ | เจ้าของร้านเครื่องสำอางจันทรา | ร้านบิวตี้ Bazaar | 33 | หญิง | ผมยาวเงา | ม่วงอ่อน | ขาว | 5'6" | หุ่นดี | ชุดพ่อค้าเครื่องสำอาง | Medium | เจ้าระเบียบ, หลงใหลสวยงาม | Luminara |
|47 | โรมัน เอเชน | พนักงานรับจ้างเก็บข้อมูลสัญญา | สำนักงาน Inscribed Bridge | 41 | ชาย | ผมสั้นสะอาด | น้ำตาลเข้ม | ผิวอ่อน | 5'9" | ผอม | เสื้อพนักงานเอกสาร | - | ระมัดระวัง, ซื่อสัตย์ | Luminara |
|48 | ไอรีน ฟอส | ครูฝึกงานฝีมือไม้เวท | โรงฝึกช่างเมือง | 37 | หญิง | ผมหยิกกลางหลัง | น้ำตาลทอง | ขาวมุก | 5'5" | หุ่นดี | ชุดครูฝีมือ | Small | ใจดี, ใจเย็นสอนดี | Luminara |
|49 | เลโอนาร์ด ทาส | พนักงานดูแลการค้าทาส | Workforce Auction Block (ฝ่ายบัญชี) | 58 | ชาย | ผมปัดข้างสีเงิน | เทา | ขาว | 5'11" | ผอม | ชุดบัญชีราชการ | - | เย็นชา, มืออาชีพ | Luminara |
|50 | นีลา คอว์ | หัวหน้าพนักงานบริการชา | Tea House ย่านศิลป์ | 29 | หญิง | ผมรวบต่ำ | ทองเงิน | ขาวมุก | 5'3" | ผอม | ชุดบริการชา | Small | สุภาพ, อ่อนไหวต่อศิลป์ | Luminara |
|51 | การ์เดล ลู | ช่างเย็บผ้ากาวน์พิธี | ผู้ตัดชุดพิธีสำหรับขุนนาง | 46 | ชาย | ผมมัดเตี้ย | น้ำตาลเข้ม | ผิวขาวมุก | 5'9" | หุ่นดี | ชุดตัดเสื้อหรู | - | พิถีพิถัน, ภูมิฐาน | Luminara |
|52 | อีริส เวน | ผู้ดูแลห้องทดลองคริสตัล | Lab แยกของเมือง | 54 | หญิง | ผมห่อมวย | เงินหม่น | ขาว | 5'6" | ผอม | ชุดนักวิจัยคลีน | Medium | ใฝ่รู้, รอบคอบ | Luminara |
|53 | มัลทา ชาย | คนขับเรือสำรวจแสง | เรือวิจัยทะเลสาบ | 38 | ชาย | ผมสั้นเปีย | ดำ | ผิวแทน | 5'10" | หุ่นดี | ชุดเรือเบา | - | กล้า, รู้เรื่องทะเลสาบ | Luminara |
|54 | สาริน ทา | พนักงานจัดแสดงเครื่องราง | ร้านเครื่องราง Bazaar | 26 | หญิง | ผมบ๊อบเท่ | น้ำตาลทอง | ขาวมุก | 5'2" | ผอม | ชุดแผงเครื่องราง | Small | ขี้สงสัย, สนุกสนาน | Luminara |
|55 | แอลโด วิเช | เจ้าหน้าที่ดูแลไฟประดับเมือง | ทีมตกแต่งแสงจันทร์ | 49 | ชาย | ผมเกรียน | เทา | ผิวอ่อน | 5'8" | ผอม | ชุดช่างไฟศิลป์ | - | ขยัน, เป็นระบบ | Luminara |
|56 | ยูลีนา ครอส | พนักงานประสานงานทัวร์ศิลป์ | Tourist Office (เมือง) | 35 | หญิง | ผมหยักไหล่ | บลอนด์เงิน | ขาวมุก | 5'6" | หุ่นดี | ชุดแนะนำการท่องเที่ยว | Medium | เป็นมิตร, กระตือรือร้น | Luminara |
|57 | เบรน ฟอรส์ | ช่างตีกรอบงานศิลป์ | เวิร์กช็อปกรอบ | 43 | ชาย | ผมสั้นเรียบ | น้ำตาลเข้ม | ผิวอ่อน | 5'9" | มีกล้ามเล็กน้อย | เสื้อช่างไม้ | - | รอบคอบ, ใส่ใจงานเล็ก | Luminara |
|58 | มิลล่า ออร์ | พนักงานดูแลเพลงพิธี | วัด/หอศิลป์ | 61 | หญิง | ผมขาวรวบ | ขาวมุก | ขาวซีด | 5'5" | อวบ | ชุดพิธีดนตรี | Large | เคร่งครัด, หวงธรรมเนียม | Luminara |
|59 | กาเลน ทอร์ | เจ้าของร้านเครื่องมือช่างศิลป์ | ร้านอุปกรณ์ Bazaar | 38 | ชาย | ผมยาวถัก | ดำสนิท | ผิวอ่อน | 5'10" | มีกล้ามเล็กน้อย | เสื้อพ่อค้าช่าง | - | จริงใจ, ช่วยเหลือดี | Luminara |
|60 | เอลโลรา คิล | นักจัดเก็บภาพสะท้อน | ผู้ประสาน Moonmirror Lake (บันทึกภาพ) | 44 | หญิง | ผมหยักยาว | เงินมุก | ขาวมุก | 5'6" | หุ่นดี | ชุดนักบันทึก | Medium | ละเอียด, ช่างสังเกต | Luminara |
|61 | โนแวร์ สตรี | ช่างปั้นดินเผาศิลป์ | เวิร์กช็อปริม Bazaar | 32 | ชาย | ผมมัดท้าย | น้ำตาลเข้ม | ผิวคล้ำอ่อน | 5'9" | หุ่นดี | เสื้อช่างเซรามิก | - | สร้างสรรค์, อดทน | Luminara |
|62 | แกเรีย โบน | พนักงานเก็บค่าธรรมเนียมท่าเรือ | ท่าเรือเมือง (ฝ่ายการค้า) | 47 | ชาย | ผมปัดข้าง | เทาเงิน | ผิวอ่อน | 5'10" | ผอม | ชุดงานทะเบียน | - | จริงจัง, ซื่อสัตย์ | Luminara |
|63 | อันเดล ฟิออ | เจ้าของภัตตาคารจันทรา | ร้านอาหารหรู Bazaar | 54 | ชาย | ผมปัดหลังกว้าง | ดำสนิท | ผิวขาวมุก | 5'9" | หุ่นดี | ชุดคุมเชฟศิลป์ | - | เจ้าระเบียบ, ใส่ใจรายละเอียด | Luminara |
|64 | ไรลา เบล | นักเขียนบันทึกศิลา | สำนักบันทึกเมือง | 68 | หญิง | ผมขาวถักเปีย | ขาวมุก | ขาวซีด | 5'4" | ผอม | ชุดนักบันทึก | Large | เงียบ, มีภูมิปัญญา | Luminara |
|65 | ทาริน เอ็ม | พนักงานจัดแสดงแสงบนสะพาน | ทีมพิธี Inscribed Bridge | 36 | ชาย | ผมสั้นคลื่น | เงินหม่น | ขาวมุก | 5'10" | หุ่นดี | ชุดประดับสะพาน | - | กระตือรือร้น, วิสัยทัศน์ | Luminara |
|66 | มิร่า กรีน | พนักงานซักแห้งชุดพิธี | ร้านบริการ Bazaar | 29 | หญิง | ผมรวบต่ำ | เขียวมรกต | ขาวมุก | 5'3" | ผอม | ชุดงานบริการ | Small | ขยัน, เป็นระเบียบ | Luminara |
|67 | บาลิน เฟย | พ่อค้าเครื่องดนตรีโบราณ | ร้านแผง Bazaar (ของโบราณ) | 60 | ชาย | ผมหงอกปัด | ขาวมุก | ผิวอ่อน | 5'8" | ผอม | ชุดพ่อค้าโบราณ | - | หวงของ, มีเรื่องเล่า | Luminara |
|68 | เอลล่า ทู | ผู้จัดการการแสดงยามค่ำ | ผู้ประสานนักแสดง Bazaar | 34 | หญิง | ผมบันต่ำประดับเพชร | เงิน | ขาวมุก | 5'5" | หุ่นดี | ชุดผู้จัดการการแสดง | Medium | แก้ปัญหาเก่ง, ห่วงนักแสดง | Luminara |
|69 | โรซา ลีฟ | พนักงานขายยาทรายจันทรา | แผงสมุนไพร Moonpetal | 27 | หญิง | ผมหยักสั้น | น้ำตาลทอง | ผิวขาวมุก | 5'2" | ผอม | ชุดพ่อค้า | Small | ใจดี, ช่วยเหลือคนเดินทาง | Luminara |
|70 | กอสเตล มา | ช่างติดตั้งเสียงพิธี | ทีมพิธี Moonmirror Lake | 50 | ชาย | ผมเกรียนมีหูยาว | เทา | ขาวมุก | 5'9" | ผอม | ชุดเทคนิครับงานพิธี | - | รอบคอบ, มั่นคง | Luminara |
|71 | ลูเร็น ดา | พนักงานรับจองแกลเลอรี่ | แกลเลอรี่หลัก | 31 | หญิง | ผมบ๊อบตรง | บลอนด์เงิน | ขาวมุก | 5'4" | ผอม | ชุดรับจอง | Small | สุภาพ, จัดระเบียบดี | Luminara |
|72 | เอนดรา เอล | ช่างจำลองใบไม้โลหะ | เวิร์กช็อป Living Archways | 45 | ชาย | ผมยาวเกล้ามวย | เงินหม่น | ผิวอ่อน | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างเหล็กละเอียด | - | พิถีพิถัน, ประณีต | Luminara |
|73 | มิลา นี | เจ้าของร้านขนมจันทร์ | ขนมหวาน Bazaar (กลางคืน) | 26 | หญิง | ผมหางม้าสั้น | ชมพูอ่อน | ขาว | 5'2" | ผอม | ชุดพ่อค้าขนม | Small | ร่าเริง, ขยัน | Luminara |
|74 | เบลัน ทอ | ผู้จัดการคลังเก็บศิลป์ | คลังแกลเลอรี่เมือง | 55 | ชาย | ผมปัดข้างเรียบ | เทา | ขาวมุก | 5'11" | ผอม | เสื้อคุมคลัง | - | จริงจัง, รักสิ่งของ | Luminara |
|75 | ไอรีส เฟล | พนักงานรับสมัครนักเต้น | Workforce Auction Block (ฝ่ายคัดเลือก) | 37 | หญิง | ผมยาวลอน | ทองแดง | ขาวมุก | 5'5" | หุ่นดี | ชุดคัดเลือก | Medium | หนักแน่น, มีมาตรฐาน | Luminara |
|76 | โนแวน เคล | ช่างแกะสลักโลหะเงิน | เวิร์กช็อปตกแต่ง | 49 | ชาย | ผมสั้นเรียบ | เงินเงา | ผิวอ่อน | 5'9" | มีกล้ามเล็กน้อย | เสื้อช่างโลหะ | - | ใจเย็น, ชำนาญ | Luminara |
|77 | เซอร์ฟาเนีย | หัวหน้านักบำบัดเสียง | House of Echoes (พิธีกรรม) | 64 | หญิง | ผมขาวยาว | ขาวมุก | ขาวซีด | 5'6" | อวบ | ชุดพิธีดนตรี | Large | ลึกซึ้ง, ลึกลับ | Luminara |
|78 | มาเร็ค วิล | ผู้จัดการการส่งออกงานศิลป์ | Office การค้าส่ง | 58 | ชาย | ผมปัดหลัง | น้ำตาลเข้ม | ผิวอ่อน | 5'11" | ผอม | ชุดการค้าราชการ | - | เจรจาเชี่ยวชาญ, สุภาพ | Luminara |
|79 | ลินดา คอร์ | เด็กเสิร์ฟบาร์ทะเลสาบ | บาร์เล็กริม Moonmirror Lake | 21 | หญิง | ผมเปียปลาย | น้ำตาลอ่อน | ขาวมุก | 5'3" | ผอม | ชุดเสิร์ฟทะเลสาบ | Small | อ่อนโยน, รวดเร็ว | Luminara |
|80 | โรลันด์ เฟย์ | ช่างทำโมบายจันทรา | ร้านโมบาย/ของตกแต่ง Bazaar | 34 | ชาย | ผมยุ่งมีแถบ | ดำ | ผิวอ่อน | 5'10" | ผอม | เสื้อช่างประณีต | - | ขี้เล่น, จินตนาการสูง | Luminara |
|81 | จูลีน เอส | ผู้จัดการงานเทศกาลแสง | ทีมเทศกาลเมือง (ประจำปี) | 46 | หญิง | ผมหางม้าสูง | เงินมุก | ขาวมุก | 5'6" | หุ่นดี | ชุดผู้จัดงาน | Medium | กระตือรือร้น, จัดการเก่ง | Luminara |
|82 | เทอเรส กอร์ | พนักงานซ่อมแซมแก้วคริสตัล | เวิร์กช็อปคริสตัล | 39 | ชาย | ผมเกรียน | น้ำตาลเข้ม | ผิวอ่อน | 5'9" | มีกล้ามเล็กน้อย | ชุดช่างละเอียด | - | ใส่ใจ, รอบคอบ | Luminara |
|83 | นีล่า วาร์ | นักแปลคัมภีร์พิธี | สำนักพิธีกรรมเมือง | 62 | หญิง | ผมมวยสูง | ขาวมุก | ขาวซีด | 5'4" | อวบ | ชุดนักวิชาการ | Large | เงียบ, รอบรู้ | Luminara |
|84 | แอดมอน ทัล | หน.ฝ่ายอนุรักษ์ Living Archways | สำนักอนุรักษ์เมือง | 57 | ชาย | ผมมัดท้าย | เทาเงิน | ผิวอ่อน | 5'10" | หุ่นดี | ชุดหัวหน้าทีม | - | จริงจัง, รักธรรมชาติ | Luminara |
|85 | ลูนา เจย์ | พนักงานต้อนรับแกลเลอรี่ | แกลเลอรี่หลัก | 24 | หญิง | ผมบ๊อบแสกกลาง | บลอนด์เงิน | ขาวมุก | 5'5" | ผอม | ชุดต้อนรับหรู | Small | สุภาพ, อ่อนน้อม | Luminara |
|86 | ไพรา เทน | เจ้าของร้านโรยเกล็ดแสง | ร้านของประดับ Bazaar | 31 | หญิง | ผมยาวเป็นลอน | ทอง | ขาวมุก | 5'4" | หุ่นดี | ชุดประดับสดใส | Medium | หลงใหลของสวยงาม, เจ้ารสนิยม | Luminara |
|87 | ดาริล เอ็น | พนักงานฝ่ายเอกสารการส่งออก | Office การค้าส่ง (เอกสาร) | 40 | ชาย | ผมเรียบแสก | น้ำตาลเข้ม | ขาวมุก | 5'9" | ผอม | ชุดงานราชการ | - | รอบคอบ, ซื่อสัตย์ | Luminara |
|88 | ออริยา คอร์ | ช่างร้อยสร้อยเวท | ร้านเครื่องประดับ Bazaar | 28 | หญิง | ผมหางม้าเปีย | เงินมุก | ขาวมุก | 5'3" | ผอม | ชุดช่างประณีต | Small | ขยัน, ใส่ใจรายละเอียด | Luminara |
|89 | เฟอร์ริน วาร์ | ผู้จัดการสาธารณูปโภคแสง | สำนักพลังงานแสงจันทร์ | 50 | ชาย | ผมปัดข้าง | เทาเงิน | ขาว | 5'10" | ผอม | ชุดผู้ดูแลพลังงาน | - | ระมัดระวัง, เชี่ยวชาญ | Luminara |
