| #  | ชื่อ (วัฒนธรรม) | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
| 36 | Natalia (รัสเซีย) | พนักงานสำนักภาษี | เก็บภาษีส่งราชสำนัก | 46 | หญิง | ผมห่อมวยต่ำ | น้ำตาลเข้ม | ขาว | 5'5" | หุ่นดี | ชุดข้าราชการ | Medium | เคร่งครัด, จริงใจ | Xianlong |
| 37 | Rui (จีน) | ช่างทำลายลอกลายผ้าไหม | ลอกแพทเทิร์นผ้าไหมชั้นสูง | 27 | ชาย | ผมมัดท้าย | ดำเงา | เหลือง | 5'7" | ผอม | เสื้อช่างผ้า | - | ขยัน, ช่างสังเกต | Xianlong |
| 38 | Elena (ละติน) | ผู้จัดการคาราวาน | ประสานคาราวานส่งผ้าไหม | 43 | หญิง | ผมเกล้ามวย | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดผู้นำคาราวาน | Medium | กล้าตัดสินใจ, รอบรู้ | Xianlong |
| 39 | Satoshi (ญี่ปุ่น) | นักประดิษฐ์เครื่องกลเล็ก | ทำของเล่นกลำลองมังกร | 35 | ชาย | ผมยุ่ง | ดำ | เหลือง | 5'8" | ผอม | เสื้อช่างประดิษฐ์ | - | ใฝ่รู้, ช่างคิด | Xianlong |
| 40 | Mei Rong (จีน) | เจ้าของชาเตียง | เจ้าของชา "ใบชาสวรรค์" (หายาก) | 58 | หญิง | ผมห่อมวย | เทาเงิน | เหลือง | 5'2" | อวบ | ชุดเจ้าของร้านชา | Large | ภูมิฐาน, อ่อนโยน | Xianlong |
| 41 | Lucia (ละติน) | พนักงานคัดลายคราม | คัดเลือกชิ้นงานส่งตลาดขุนนาง | 32 | หญิง | ผมบ๊อบ | น้ำตาลเข้ม | ขาว | 5'5" | ผอม | ชุดพนักงานแกลเลอรี่ | Small | พิถีพิถัน, สร้างสรรค์ | Xianlong |
| 42 | Oksana (รัสเซีย) | คนขนส่งหยก | หัวหน้าลูกเรือขนหยก | 37 | หญิง | ผมหยักมวย | บลอนด์ | ขาว | 5'7" | หุ่นดี | เสื้อคลุมการเดินเรือ | Medium | แข็งแรง, จริงจัง | Xianlong |
| 43 | Ken (ญี่ปุ่น) | ผู้เขียนยันต์ | จารึกยันต์ป้องกันในร้านค้า | 29 | ชาย | ผมสั้นสะอาด | ดำ | เหลือง | 5'8" | ผอม | เสื้อห่มนักจารึก | - | เงียบ, รอบคอบ | Xianlong |
| 44 | Rosa (ละติน) | ช่างทำโคมไฟหยก | ผลิตโคมประดับราชสำนัก | 45 | หญิง | ผมห่อมวย | น้ำตาลทอง | ขาว | 5'4" | อวบ | ชุดช่างโคม | Large | ประณีต, มีความคิดสร้างสรรค์ | Xianlong |
| 45 | Bo (จีน) | ผู้จัดการคลังเครื่องเทศ | คลังสินค้า Jade Pavilion | 50 | ชาย | ผมปัดข้าง | ดำหม่น | เหลือง | 5'9" | ผอม | เสื้อคลัง | - | ระมัดระวัง, ซื่อสัตย์ | Xianlong |
| 46 | Yulia (รัสเซีย) | เจ้าหน้าที่รักษาความสะอาดวัด | ดูแลพิธีกรรมและสถานที่ | 62 | หญิง | ผมหงอกเกล้ามวย | ขาว | ขาวซีด | 5'3" | อวบ | ชุดผู้ดูแลวัด | Large | เคร่งครัด, ใจดี | Xianlong |
| 47 | Anselmo (ลาตินแฟนตาซี) | พ่อค้าตำรา | ขายตำราและม้วนโบราณ | 55 | ชาย | ผมเรียบยาว | เทา | ขาว | 5'10" | ผอม | เสื้อพ่อค้าตำรา | - | ใจรักความรู้, ค้าขายชำนาญ | Xianlong |
| 48 | Ji-won (เกาหลี) | นักวิเคราะห์เครื่องเทศ | วิเคราะห์ส่วนผสมยาและเครื่องเทศ | 36 | หญิง | ผมหางม้าเรียบ | ดำ | เหลือง | 5'4" | ผอม | เสื้อแล็บพื้นเมือง | Medium | รอบคอบ, ใฝ่รู้ | Xianlong |
| 49 | Theodor (กรีก) | ผู้ทำประมวลม้า | ดูแลม้าศึกนำเข้า | 41 | ชาย | ผมสั้นเรียบ | น้ำตาลเข้ม | ขาว | 5'11" | มีกล้าม | เสื้อผู้ดูแลม้า | - | ใจดีต่อสัตว์, ขยัน | Xianlong |
| 50 | Fang (จีน) | พนักงานตรวจของเข้าออกประตู | สำนักงาน Gate Records | 30 | ชาย | ผมปัดข้าง | ดำ | เหลือง | 5'8" | ผอม | เสื้อข้าราชการประตู | - | ระมัดระวัง, ซื่อสัตย์ | Xianlong |
| 51 | Natalia (ละติน/ยุโรปผสม) | ผู้จัดการห้องพักขุนนาง | ดูแลบ้านเช่าสำหรับขุนนางแวะพัก | 47 | หญิง | ผมหางม้า | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดเจ้าของที่พัก | Large | กระตือรือร้น, บริการดี | Xianlong |
| 52 | Hye-jin (เกาหลี) | ช่างทำลายลายผ้า | ทำลวดลายปักผ้าไหม | 28 | หญิง | ผมบ๊อบเรียบ | ดำ | เหลือง | 5'2" | ผอม | เสื้อช่างเย็บ | Small | ประณีต, ตั้งใจ | Xianlong |
| 53 | Lucian (ละติน) | นักบัญชีคลังสินค้า | บัญชีสินค้าส่งออก | 53 | ชาย | ผมหงอกเรียบ | เทา | ขาว | 5'9" | ผอม | เสื้อสำนักงานบัญชี | - | รอบคอบ, แม่นยำ | Xianlong |
| 54 | Meilin (จีน) | เจ้าของร้านเครื่องเทศ | แผงเครื่องเทศหายาก Jade Pavilion | 35 | หญิง | ผมยาวถัก | ดำเงา | เหลือง | 5'3" | หุ่นดี | ชุดแผงหรู | Medium | เฉียบคม, ค้าขายชำนาญ | Xianlong |
| 55 | Artem (รัสเซีย) | พนักงานรักษาคลังตำรา | คลังตำราพระราชสำนัก | 60 | ชาย | ผมเทาเรียบ | เทา | ขาว | 5'10" | ผอม | ชุดนักหอสมุด | - | เงียบขรึม, รักการเก็บรักษา | Xianlong |
| 56 | Yumi (ญี่ปุ่น) | นักเต้นศิลป์ | การแสดงสำหรับขุนนาง | 26 | หญิง | ผมหยักยาว | ดำ | เหลือง | 5'2" | หุ่นดี | ชุดรำประณีต | Small | สง่างาม, อ่อนโยน | Xianlong |
| 57 | Alfonso (ละติน) | คนกลางซื้อขายหยก | นายหน้าขายหยก | 38 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อพ่อค้า | - | เจ้าเล่ห์, มีไหวพริบ | Xianlong |
| 58 | Ruiwen (จีน) | ผู้ชำนาญยันต์ | ทำยันต์ป้องกันสำหรับบ้านขุนนาง | 48 | ชาย | ผมห่อมวย | ดำหม่น | เหลือง | 5'7" | ผอม | ชุดนักผนึก | - | ลึกลับ, เชี่ยวชาญพิธีกรรม | Xianlong |
| 59 | Katarzyna (โปแลนด์/รัสเซียผสม) | พนักงานประจำตลาดกลาง | ดูแลจุดแลกเปลี่ยนสินค้าในตลาด | 34 | หญิง | ผมบ๊อบ | บลอนด์อ่อน | ขาว | 5'6" | หุ่นดี | ชุดพนักงานตลาด | Medium | กระตือรือร้น, เป็นระเบียบ | Xianlong |
| 60 | Jin (จีน) | ช่างทอผ้า | ทอผ้าไหมสำหรับพิธี | 40 | ชาย | ผมมัดหางม้า | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างทอ | - | ตั้งใจ, ใจกว้าง | Xianlong |
| 61 | Alessia (ละติน) | เจ้าของร้านม้วนตำรา | ขายม้วนตำราโบราณ | 49 | หญิง | ผมห่มมวย | น้ำตาลทอง | ขาว | 5'5" | อวบ | ชุดร้านตำรา | Large | เจรจาง่าย, มีเสน่ห์ | Xianlong |
| 62 | Park (เกาหลี) | เจ้าหน้าที่ควบคุมเครื่องเทศ | คัดแยกเครื่องเทศส่งราชสำนัก | 36 | ชาย | ผมสั้นสะอาด | ดำ | เหลือง | 5'9" | ผอม | ชุดตรวจคุณภาพ | - | พิถีพิถัน, มีความรับผิดชอบ | Xianlong |
| 63 | Theo (กรีก) | นักแกะสลักสิงห์หิน | ทำรูปปั้นมังกร/สิงห์ประดับเมือง | 57 | ชาย | ผมปัดข้าง | เทาเข้ม | ขาว | 5'11" | มีกล้าม | เสื้อช่างแกะสลัก | - | ขรึม, ช่างฝีมือ | Xianlong |
| 64 | Mei-Hua (จีน) | เจ้าของโรงชงชา | โรงชงชาเล็ก ๆ ใกล้ประตูหงส์แดง | 62 | หญิง | ผมขาวมัด | ขาว | เหลือง | 5'1" | อวบ | ชุดเจ้าของโรงชา | Large | ใจดี, มีความรู้เรื่องชา | Xianlong |
| 65 | Ricardo (ละติน) | พ่อค้าไม้ | นำเข้าไม้สำหรับหัตถกรรม | 44 | ชาย | ผมหวีเรียบ | น้ำตาลเข้ม | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อพ่อค้าเดินทาง | - | กล้าต่อรอง, เจ้าเล่ห์ | Xianlong |
| 66 | Sinead (กรีก/ยุโรปผสม) | นักเขียนเอกสารราชสำนัก | จัดทำสำนวนอย่างเป็นทางการ | 50 | หญิง | ผมห่อมวยต่ำ | แดงเข้ม | ขาว | 5'6" | ผอม | ชุดงานราชการ | Medium | แม่นยำ, สุภาพ | Xianlong |
| 67 | Bojun (จีน) | พนักงานจัดส่งตำรา | ส่งตำราไปยังกองขุนศึก | 29 | ชาย | ผมตัดสั้น | ดำ | เหลือง | 5'8" | ผอม | เสื้อส่งของ | - | ว่องไว, ซื่อสัตย์ | Xianlong |
| 68 | Yelena (รัสเซีย) | พนักงานสอนรำ | ครูสอนศิลปะรำขุนนาง | 45 | หญิง | ผมหยักยาว | บลอนด์หม่น | ขาว | 5'5" | หุ่นดี | ชุดครูรำ | Medium | อ่อนโยน, เข้มงวดในการฝึก | Xianlong |
| 69 | Matteo (ลาติน) | ช่างทำกล่องเก็บหยก | ผลิตกล่องทองสำหรับหยก | 38 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อช่างทอง | - | ประณีต, ใส่ใจรายละเอียด | Xianlong |
| 70 | Riko (ญี่ปุ่น) | เด็กเสิร์ฟประตูเต่าดำ | พนักงานประตูเต่าดำ (ยามเล็ก) | 18 | หญิง | ผมเปียคู่ | ดำ | เหลือง | 5'1" | Tiny | ชุดยามเด็ก | Tiny | กล้า, กระตือรือร้น | Xianlong |
| 71 | Olivia (ละติน) | พนักงานทำบัญชีผ้าไหม | บันทึกการสั่งผ้า | 31 | หญิง | ผมบ๊อบ | น้ำตาลอ่อน | ขาว | 5'4" | ผอม | เสื้อสำนักงาน | Small | เนี้ยบ, แม่นยำ | Xianlong |
| 72 | Yuri (รัสเซีย) | ช่างบรรจุเครื่องเทศ | บรรจุเครื่องเทศส่งขุนนาง | 34 | ชาย | ผมสั้น | เทาเข้ม | ขาว | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่าง | - | อดทน, ตั้งใจ | Xianlong |
| 73 | Ming (จีน) | ผู้ดูแลตลาดผ้าไหม | ควบคุมคุณภาพแผงผ้าใน Jade Pavilion | 43 | ชาย | ผมมัดด้านหลัง | ดำเงา | เหลือง | 5'7" | หุ่นดี | เสื้อผู้จัดการตลาด | - | จริงจัง, ระเบียบ | Xianlong |
| 74 | Lara (ละติน) | ผู้จัดการพิธีขุนนาง | ประสานพิธีมอบของขวัญ | 39 | หญิง | ผมหยักประบ่า | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดพิธีการ | Medium | สุภาพ, จัดการเก่ง | Xianlong |
| 75 | Koji (ญี่ปุ่น) | ช่างทำเครื่องประดับมินิ | ผลิตของตกแต่งเล็ก ๆ | 28 | ชาย | ผมยุ่ง | ดำ | เหลือง | 5'7" | ผอม | เสื้อช่างเล็ก | - | สร้างสรรค์, คล่องแคล่ว | Xianlong |
| 76 | Anastasia (รัสเซีย) | พนักงานจัดเก็บผ้าไหม | คลังผ้าไหมราชสำนัก | 51 | หญิง | ผมห่อมวย | บลอนด์หม่น | ขาว | 5'5" | อวบ | ชุดคลัง | Large | ระมัดระวัง, ใจดี | Xianlong |
| 77 | Rafael (ละติน) | พ่อค้าม้วนตำรา | ขายม้วนตำราการแพทย์ | 46 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อพ่อค้า | - | รู้ค่าสินค้า, ช่างต่อรอง | Xianlong |
| 78 | Ji-ah (เกาหลี) | ผู้ฝึกหมอสมุนไพร | ผู้ช่วยหมอในคลินิกสมุนไพร | 25 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'3" | ผอม | ชุดผู้ช่วยสมุนไพร | Small | เรียนรู้เร็ว, อ่อนน้อม | Xianlong |
| 79 | Hector (กรีก) | นักชั่งผ้า | ชั่งมูลค่าผ้าไหมกลางตลาด | 33 | ชาย | ผมสั้น | น้ำตาลเข้ม | ขาว | 5'10" | ผอม | เสื้อพนักงานชั่ง | - | มืออาชีพ, แม่นยำ | Xianlong |
| 80 | Lili (จีน) | เจ้าของร้านเครื่องราง | ขายเครื่องรางป้องกันและยันต์ | 36 | หญิง | ผมหยักยาว | ดำ | เหลือง | 5'4" | หุ่นดี | ชุดแผงเครื่องราง | Medium | ลึกลับ, ใจดี | Xianlong |
| 81 | Mateo (ละติน) | พ่อค้านำเข้าเมล็ดชา | ตัวแทนนำเข้าใบชาต่างแดน | 40 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อพ่อค้าเดินเรือ | - | เจรจาดี, ขยัน | Xianlong |
| 82 | Sun-hee (เกาหลี) | พนักงานทะเบียนคนนอก | บันทึกการค้าต่างแดน | 42 | หญิง | ผมห่อมวย | ดำ | เหลือง | 5'4" | หุ่นดี | เสื้อราชการ | Medium | ใส่ใจรายละเอียด, เยือกเย็น | Xianlong |
| 83 | Artemisia (กรีก) | ผู้จัดคอลเลกชันเครื่องลายคราม | จัดแสดงของในหอศิลป์เมือง | 55 | หญิง | ผมหยักมวย | เทา | ขาว | 5'6" | หุ่นดี | ชุดคิวเรเตอร์ | Large | มีรสนิยม, ช่างสังเกต | Xianlong |
| 84 | Bo-Lin (จีน) | ช่างบรรจุหยก | บรรจุหยกสำหรับขุนนาง | 29 | ชาย | ผมมัด | ดำ | เหลือง | 5'7" | ผอม | เสื้อช่างบรรจุ | - | ระมัดระวัง, พิถีพิถัน | Xianlong |
| 85 | Nadia (รัสเซีย) | ผู้ขายผ้าลูกไม้ | แผงผ้านำเข้าใน Jade Pavilion | 34 | หญิง | ผมหยักลอน | แดงเข้ม | ขาว | 5'5" | หุ่นดี | ชุดพ่อค้าแฟชั่น | Medium | เจ้ารสนิยม, ขยัน | Xianlong |
| 86 | Zhen (จีน) | นักอ่านตำราโบราณ | บรรณารักษ์ตำราโบราณ | 63 | ชาย | ผมขาวยาว | ขาว | เหลือง | 5'8" | ผอม | เสื้อห่มนักวิชาการ | - | เจนจัด, ใฝ่รู้ | Xianlong |
| 87 | Rosa (ละติน) | ผู้จัดการพิพิธภัณฑ์หยก | ดูแลคอลเลกชันราชสำนัก | 58 | หญิง | ผมห่อมวย | น้ำตาลทอง | ขาว | 5'4" | อวบ | ชุดผู้บริหารพิพิธภัณฑ์ | Large | ใจเย็น, ใส่ใจงาน | Xianlong |
| 88 | Jeong (เกาหลี) | ผู้คัดเลือกเครื่องเทศ | คัดเลือกเครื่องเทศส่งพระราชวัง | 39 | ชาย | ผมสั้นสะอาด | ดำ | เหลือง | 5'9" | ผอม | เสื้อคัดเครื่องเทศ | - | รอบคอบ, มีมาตรฐาน | Xianlong |
| 89 | Elias (กรีก) | ช่างตีตรา | ทำตราแผ่นโลหะสำหรับผ้าไหม | 36 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างโลหะ | - | ใส่ใจรายละเอียด, เงียบขรึม | Xianlong |
| 90 | Mingxia (จีน) | พนักงานฝ่ายของขวัญ | จัดของขวัญสำหรับพิธีศาลา | 30 | หญิง | ผมห่อมวยต่ำ | ดำเงา | เหลือง | 5'3" | ผอม | ชุดประสานงานพิธี | Small | เปี่ยมมารยาท, ตั้งใจ | Xianlong |
| 91 | Viktor (รัสเซีย) | ผู้ประสานการขนส่ง | ประสานเรือ/เกวียนขนส่งสินค้า | 48 | ชาย | ผมสั้นเรียบ | เทา | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อประสานงาน | - | เป็นระบบ, จริงจัง | Xianlong |
| 92 | Aoi (ญี่ปุ่น) | ช่างประดับผ้า | ปักลวดลายมังกรบนผ้าไหม | 27 | หญิง | ผมหยักยาว | ดำ | เหลือง | 5'2" | ผอม | เสื้อช่างปัก | Small | สร้างสรรค์, ขยัน | Xianlong |
