| # | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|10 | Soo-jin Park | เด็กเสิร์ฟโรงเตี๊ยม | บาร์ "Steam & Stew" | 22 | หญิง | ผมหางมาปัดข้าง | ดำเงา | ผิวเหลืองอ่อน | 5'2" | ผอม | ผ้ากันเปื้อนบาร์ | Small | ร่าเริง, ว่องไว | Cogforge |
|11 | Lucian Morales | นักตีเฟือง (gearwright) | ช่างเฟืองกลาง Bazaar | 39 | ชาย | ผมปัดข้าง | ดำหม่น | ผิวขาว | 5'9" | มีกล้ามเล็กน้อย | เสื้อช่างมีฝุ่นน้ำมัน | - | เจ้าเล่ห์, ช่างคิด | Cogforge |
|12 | Katerina Sokolova | ผู้จัดการแรงงาน | ควบคุมกะเหมือง | 47 | หญิง | มวยสูงเปะ | น้ำตาลแดง | ขาว | 5'5" | หุ่นดี | ชุดกิลด์แรงงาน | Medium | เข้มงวด, จริงใจ | Cogforge |
|13 | Alejandro Ruiz | พ่อค้าหินและอัญมณี | แผง Cogwork Bazaar (หิน) | 36 | ชาย | ผมยาวมัดหลวม | ดำ | ผิวขาวแทน | 5'8" | หุ่นดี | เสื้อพ่อค้า, ผ้าคลุมทองแดง | - | พูดเก่ง, รักกำไร | Cogforge |
|14 | Greta Hammerfall | ช่างหล่อโลหะ | หัวหน้าหล่อเหล็ก | 61 | หญิง | ผมห่อมวยหนา | ขาว | ขาวหม่น | 4'10" | อวบ | ชุดป้องกันหล่อโลหะ | Large | ดุดัน, ใจดีต่อลูกน้อง | Cogforge |
|15 | Marcus Aurelius | หน.บัญชีสภากิลด์ | เจ้าหน้าที่บัญชีกลาง | 49 | ชาย | ผมหวีเรียบ | เทาเข้ม | ขาว | 5'10" | ผอม | ชุดสุภาพ, ปกกิลด์ | - | รอบคอบ, เยือกเย็น | Cogforge |
|16 | Yuko Tanaka | ช่างซ่อมวาล์วไอน้ำ | ช่างซ่อมไลน์ท่อ | 27 | หญิง | ผมสั้นประบ่า | ดำ | ผิวเหลือง | 5'3" | ผอม | เสื้อช่างท่อ, ถุงมือหนัง | Small | ขยัน, ชอบทดสอบ | Cogforge |
|17 | Zhao Wei | พนักงานคลังแร่ | เก็บบันทึกน้ำหนักแร่ | 33 | ชาย | ผมเปียสั้น | น้ำตาลดำ | ผิวเหลือง | 5'7" | หุ่นดี | เสื้อคลัง, เข็มขัดชั่งน้ำหนัก | - | ขยัน, ตั้งใจ | Cogforge |
|18 | Paolo Ferraro | เจ้าของร้านเครื่องมือ | แผงขายเครื่องมือก่อสร้าง | 42 | ชาย | หนวดเคราสั้น | ดำสนิท | ผิวขาวเมดิเตอร์เรเนียน | 5'8" | หุ่นดี | เสื้อพ่อค้าเหล็ก | - | ช่างให้คำแนะนำ, ใจดี | Cogforge |
|19 | An Li | พนักงานซ่อมเกวียน | ซ่อมล้อเครื่องจักร | 30 | หญิง | ผมมวยหลวม | ดำ | ผิวเหลือง | 5'2" | ผอม | เสื้อช่างซ่อม | Small | เอาจริงเอาจัง, ฝีมือดี | Cogforge |
|20 | Gregor Ivan | ผู้จัดการท่าแร่ | ผู้ประสานท่าเรือบาร์จแร่ | 53 | ชาย | ผมปัดข้าง | เทา | ผิวขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อกิลด์ท่า | - | เข้มแข็ง, จริงจัง | Cogforge |
|21 | Marisol Santos | เจ้าของโรงน้ำชา | เจ้าของ Tea & Steam | 45 | หญิง | ผมมัดแกละ | น้ำตาลอ่อน | ผิวสองสีอ่อน | 5'4" | หุ่นดี | ชุดโฮสต์ร้าน | Medium | สุภาพ, เป็นมิตร | Cogforge |
|22 | Dimitra Lys | นักออกแบบแผงบอร์ด | ออกแบบหน้าร้านใน Bazaar | 37 | หญิง | ผมยาวปัดข้าง | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดนักออกแบบสวมผ้าโลหะ | Medium | สร้างสรรค์, ชอบความเรียบร้อย | Cogforge |
|23 | Viktor Koval | ผู้ควบคุมเหมืองลึก | หัวหน้ากะเหมือง | 60 | ชาย | ผมสั้นเรียบ | เทาเข้ม | ผิวขาวซีด | 5'9" | มีกล้ามเล็กน้อย | เสื้อกะเหมืองแข็งแรง | - | เคร่งครัด, มีระเบียบ | Cogforge |
|24 | Hana Sato | เด็กเสิร์ฟโรงงาน | โรงอาหารกิลด์ช่างตีเหล็ก | 19 | หญิง | ผมหางม้าเตี้ย | ดำ | ผิวเหลืองอ่อน | 5'1" | ผอม | ชุดเสิร์ฟเรียบ | Tiny | ร่าเริง, ว่องไว | Cogforge |
|25 | Li Chen | นักตรวจคุณภาพเหล็ก | แผงตรวจ Cogwork Bazaar | 41 | ชาย | ผมปัดข้าง | ดำหม่น | ผิวเหลือง | 5'6" | ผอม | เสื้อห้องทดลอง, แว่น | - | พิถีพิถัน, เคร่งครัด | Cogforge |
|26 | Olga Mirov | เจ้าหน้าที่ตลาดมืด | ผู้ประสานตลาดมืดย่อย | 35 | หญิง | ผมสั้นบ๊อบ | แดงเข้ม | ขาว | 5'5" | หุ่นดี | เสื้อผ้าคลุมมืด | Medium | เจ้าเล่ห์, สุภาพเมื่อจำเป็น | Cogforge |
|27 | Taro Yamazaki | ช่างแกะสลักเหล็ก | ผลิตป้ายฟันเฟืองตกแต่ง | 28 | ชาย | ผมมัดด้านหลัง | ดำ | ผิวเหลือง | 5'7" | ผอม | เสื้อช่างแกะ | - | สงบ, ใส่ใจรายละเอียด | Cogforge |
|28 | Margarita Lopez | แคชเชียร์กิลด์ | ธนาคารกิลด์ย่อย | 48 | หญิง | ผมมวยต่ำเรียบ | น้ำตาลเข้ม | ผิวสองสี | 5'3" | อวบ | เสื้อสำนักงานกิลด์ | Large | รอบคอบ, จริงใจ | Cogforge |
|29 | Niko Stavros | ช่างประกอบวาล์ว | เวิร์กช็อปกลาง | 33 | ชาย | ผมกะลาสีสั้น | น้ำตาลเข้ม | ผิวขาว | 5'9" | มีกล้ามเล็กน้อย | เสื้อช่างมีคราบน้ำมัน | - | กระตือรือร้น, เอาจริง | Cogforge |
|30 | Eun-ji Kim | พนักงานลงทะเบียนแรงงาน | สำนักงานแรงงานกิลด์ | 39 | หญิง | ผมบ๊อบเรียบ | ดำ | ผิวเหลือง | 5'4" | หุ่นดี | เสื้อสำนักงาน | Medium | เป็นระบบ, ใจดี | Cogforge |
|31 | Jorge Mendez | พ่อค้าอาหารสำเร็จรูป | แผงอาหารริม Bazaar | 29 | ชาย | หนวดบาง | ดำ | ผิวแทน | 5'8" | หุ่นดี | เสื้อพ่อค้า, หมวกผ้า | - | คุยเก่ง, นัดบ่อย | Cogforge |
|32 | Helga Stonebrew | เจ้าของโรงต้มเหล็ก | หัวหน้าโรงไอน้ำ | 66 | หญิง | ผมหงอกม้วน | ขาว | ขาวหม่น | 4'11" | อวบ | เสื้อป้องกันไอน้ำ | Large | เคร่งครัด, ใจดีต่อผู้ร่วมงาน | Cogforge |
|33 | Caius Maro | ทนายกิลด์ | ที่ปรึกษากฎหมายการค้า | 50 | ชาย | ผมหวีเรียบ | เทา | ขาว | 5'11" | ผอม | เสื้อสูทกิลด์ | - | เจรจาเก่ง, เยือกเย็น | Cogforge |
|34 | Akiko Nara | ช่างแก้วท่อไอน้ำ | ทำหลอดแก้วบอกแรงดัน | 44 | หญิง | ผมห่อมวย | ดำเงา | ผิวเหลือง | 5'2" | หุ่นดี | เสื้อช่างแก้ว | Medium | ใจเย็น, ช่างฝีมือ | Cogforge |
|35 | Pavel Orlov | ผู้คุมการขุด | เจ้าหน้าที่ตรวจสอบปริมาณ | 55 | ชาย | ผมสั้นเรียบ | เทาเงิน | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อกะเหมือง | - | จริงจัง, เคร่งครัด | Cogforge |
|36 | Rosa Delgado | แม่ครัวโรงเตี๊ยม | หัวหน้าเชฟโรงเตี๊ยมท่าแร่ | 46 | หญิง | ผมห่มมวย | น้ำตาลแดง | ผิวสองสี | 5'5" | อวบ | ชุดทำครัวหนา | Large | ใจดี, จัดการดี | Cogforge |
|37 | Ivo Petrescu | ช่างซ่อม Automaton | ศูนย์ซ่อมกายกรรมอัตโนมัติ | 34 | ชาย | ผมสั้นปัด | น้ำตาลเข้ม | ผิวขาว | 5'9" | ผอม | เสื้อช่างเครื่อง, เครื่องมือพก | - | ใฝ่รู้, มีไหวพริบ | Cogforge |
|38 | Sora Mizuki | พนักงานต้อนรับโรงแรมแรงงาน | Guesthouse ใกล้ Adamant Gate | 26 | หญิง | ผมบ๊อบแสกกลาง | ดำ | ผิวเหลือง | 5'3" | ผอม | ชุดรับรองแขก | Small | สุภาพ, กระตือรือร้น | Cogforge |
|39 | Konstantin Gorbov | เจ้าหน้าที่ภาษีท่าแร่ | เก็บค่าธรรมเนียมส่งออก | 59 | ชาย | ผมปัดข้าง | เทา | ผิวขาวซีด | 5'11" | ผอม | เครื่องแบบภาษี | - | เข้มงวด, จริงจัง | Cogforge |
|40 | Lian Hua | ช่างตีเหล็กชาวจีน-แฟนตาซี | ช่างผู้ผลิตชิ้นส่วนละเอียด | 37 | หญิง | ผมยาวเกล้ามวย | ดำ | ผิวเหลือง | 5'4" | หุ่นดี | เสื้อช่างประณีต | Medium | พิถีพิถัน, อดทน | Cogforge |
|41 | Mateo Silva | นายหน้าแร่ | นายหน้าขายแร่ระหว่างกิลด์ | 40 | ชาย | ผมปัดข้าง | ดำสนิท | ผิวแทน | 5'9" | ผอม | เสื้อพ่อค้า, แผนที่ | - | เจ้าเล่ห์, ช่างต่อรอง | Cogforge |
|42 | Ingrid Holm | ผู้จัดการฝ่ายสวัสดิการ | ดูแลที่พักแรงงาน | 51 | หญิง | ผมห่อมวยโล่ง | บลอนด์หม่น | ขาว | 5'5" | หุ่นดี | เสื้อผู้บริหารสวัสดิการ | Large | เมตตา, เข้มงวดเมื่อจำเป็น | Cogforge |
|43 | Ysef de la Cruz | ช่างประกอบระเบิด (non-combat) | ผลิตอุปกรณ์ระเบิดอุตสาหกรรม | 34 | ชาย | ผมเกรียน | ดำ | ผิวขาวเมดิเตอร์เรเนียน | 5'8" | ผอม | เสื้อป้องกัน, ถุงมือพิเศษ | - | รอบคอบ, มีความรับผิดชอบ | Cogforge |
|44 | Hanae Fujimoto | นักออกแบบเครื่องแบบกิลด์ | ออกแบบยูนิฟอร์มช่าง | 29 | หญิง | ผมบ๊อบเท่ | ดำ | ผิวเหลือง | 5'4" | หุ่นดี | ชุดตัดเย็บทันสมัย | Small | สร้างสรรค์, ช่างเลือก | Cogforge |
|45 | Sergei Malenkov | พนักงานควบคุมคุณภาพสินค้า | ตรวจสอบชิ้นส่วนส่งออก | 45 | ชาย | ผมปัดข้างเรียบ | เทา | ขาว | 5'10" | ผอม | เสื้อห้องทดสอบ | - | ตรงไปตรงมา, พิถีพิถัน | Cogforge |
|46 | Catalina Reyes | เจ้าหน้าที่สื่อสารกิลด์ | แผนกติดต่อกิลด์ภายนอก | 33 | หญิง | ผมยาวเปิด | น้ำตาลเข้ม | ผิวสองสี | 5'6" | หุ่นดี | เสื้อสำนักงานกิลด์ | Medium | เจรจาดี, มีมารยาท | Cogforge |
|47 | Torbjorn Krag | ช่างออกแบบฟันเฟือง | ดีไซน์เฟืองขนาดใหญ่ | 58 | ชาย | เคราสั้น | ขาว | ผิวขาวหม่น | 4'9" | มีกล้ามเล็กน้อย | เสื้อช่างดวอร์ฟ | - | สุภาพ, มีพรสวรรค์ | Cogforge |
|48 | Min-jun Lee | พนักงานบันทึกแผนการผลิต | สำนักงานผลิต | 30 | ชาย | ผมสั้นสะอาด | ดำ | ผิวเหลือง | 5'7" | ผอม | เสื้อสำนักงาน | - | ระมัดระวัง, ตรงเวลา | Cogforge |
|49 | Fabiana Costa | พนักงานขายชิ้นส่วนเครื่องยนต์ | แผงชิ้นส่วน Bazaar | 28 | หญิง | ผมหางม้าเตี้ย | น้ำตาลเข้ม | ผิวขาวเมดิเตอร์เรเนียน | 5'5" | หุ่นดี | เสื้อพ่อค้า | Medium | กระตือรือร้น, ขยัน | Cogforge |
|50 | Igor Svidrigailov | ผู้ดูแลสหภาพแรงงาน | ตัวแทนแรงงานใต้ดิน (non-combat organizer) | 47 | ชาย | ผมปัดข้าง | เทา | ผิวขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อเรียบมีตราสหภาพ | - | เอาจริงเอาจัง, ปกป้องคนงาน | Cogforge |
|51 | Rina Park | พนักงานทำความสะอาดท่อ | ทีมบำรุงรักษาไอน้ำ | 24 | หญิง | ผมบ๊อบสั้น | ดำ | ผิวเหลือง | 5'2" | ผอม | ชุดทำความสะอาด | Small | ขยัน, ไม่บ่น | Cogforge |
|52 | Marcus Petrucci | ช่างทดสอบโลหะ | ห้องทดลองโลหะกิลด์ | 35 | ชาย | ผมสั้นเรียบ | ดำ | ผิวขาว | 5'9" | ผอม | เสื้อแล็บ, แว่นตานิรภัย | - | ใส่ใจรายละเอียด, มีความรู้ | Cogforge |
|53 | Keiko Arai | เจ้าของบ้านพักคนงาน | Guesthouse ย่านเหมือง | 54 | หญิง | ผมมวยต่ำ | ดำ | ผิวเหลือง | 5'1" | อวบ | เสื้อโฮสเทล | Large | ใจดี, ควบคุมดี | Cogforge |
|54 | Lorenzo Gallo | พ่อค้าเหล็กชั้นกลาง | ตัวแทนส่งออกเหล็ก | 41 | ชาย | ผมหวีข้าง | น้ำตาลเข้ม | ผิวเมดิเตอร์เรเนียน | 5'8" | หุ่นดี | เสื้อพ่อค้า, ผ้าพันคอ | - | มั่นคง, เจ้าเล่ห์เล็กน้อย | Cogforge |
|55 | Olga Zhukova | พนักงานบันทึกสัญญา | สำนักสัญญากิลด์ | 38 | หญิง | ผมห่อมวยเรียบ | บลอนด์หม่น | ขาว | 5'4" | ผอม | เสื้อพนักงานเอกสาร | Medium | ละเอียด, เงียบขรึม | Cogforge |
|56 | Kenjiro Okada | ช่างเชื่อมทองแดง | เวิร์กช็อปเชื่อม | 32 | ชาย | ผมเกรียน | ดำ | ผิวเหลือง | 5'8" | มีกล้ามเล็กน้อย | ชุดเชื่อม, หน้ากาก | - | มุ่งมั่น, ช่างฝีมือ | Cogforge |
|57 | Astrid Halvorsen | เจ้าหน้าที่นิเทศสื่อ | กระจายข่าวกิลด์ | 36 | หญิง | ผมบ๊อบเรียบ | บลอนด์ | ขาว | 5'6" | หุ่นดี | ชุดสำนักงานสื่อ | Medium | เจรจาดี, ตรงไปตรงมา | Cogforge |
|58 | Jian Rong | ช่างขึ้นรูปโลหะ | ผลิตชิ้นส่วนประณีต | 39 | ชาย | ผมผูกหางม้า | ดำ | ผิวเหลือง | 5'6" | ผอม | เสื้อช่างละเอียด | - | พิถีพิถัน, ขรึม | Cogforge |
|59 | Helena Varga | เจ้าของร้านซ่อมชุดเกราะ (non-magical) | ร้านซ่อมเกราะย่าน Bazaar | 44 | หญิง | ผมหยักกลางหลัง | เทาเข้ม | ขาว | 5'5" | หุ่นดี | เสื้อร้านซ่อม, ผ้ากันเปื้อน | Medium | จริงใจ, ใส่ใจลูกค้า | Cogforge |
|60 | Pavel Dmitriev | ผู้บริหารคลังอัญมณี | คลังอัญมณีกิลด์ | 50 | ชาย | ผมปัดข้าง | เทา | ขาวซีด | 5'10" | ผอม | ชุดหน่วยคุมคลัง | - | ระวัง, รักสมบัติ | Cogforge |
|61 | Satoshi Inoue | ช่างสเก็ตช์แบบ | ออกแบบพิมพ์แม่พิมพ์ | 27 | ชาย | ผมยุ่งประบ่า | ดำ | ผิวเหลือง | 5'7" | ผอม | เสื้อศิลป์ช่าง | - | สร้างสรรค์, ช่างฝัน | Cogforge |
|62 | Rosa Ivanova | พนักงานรับเงินหนี้ | ทวงหนี้กิลด์ (non-violent collector) | 34 | หญิง | ผมหางม้าเตี้ย | แดงเข้ม | ขาว | 5'5" | หุ่นดี | ชุดประสานงาน | Medium | จริงจัง, เอาจริง | Cogforge |
|63 | Theo Marquez | คนขับลำเลียงอุปกรณ์ | ผู้ขับเครื่องขนส่งภายในเมือง | 31 | ชาย | ผมสั้น | น้ำตาลเข้ม | ผิวขาวแทน | 5'9" | มีกล้ามเล็กน้อย | เสื้อขนส่ง, ถุงมือ | - | มั่นคง, ขยัน | Cogforge |
|64 | Ingrid Berg | แม่บ้านสำนักกิลด์ | ดูแลสำนักงานช่างตีเหล็ก | 57 | หญิง | ผมห่อมวย | ขาวหม่น | ขาว | 5'3" | อวบ | ชุดแม่บ้าน | Large | อ่อนโยน, เสียสละ | Cogforge |
|65 | Rafael Santos | ผู้ค้าซากเครื่องจักร | แผงของเก่า Bazaar | 40 | ชาย | หนวดเล็ก | ดำ | ผิวแทน | 5'10" | หุ่นดี | เสื้อพ่อค้า | - | เจรจาดี, มีเครือข่าย | Cogforge |
|66 | Mai Lin | นักวิเคราะห์แร่ | วิเคราะห์คุณภาพแร่ก่อนขาย | 35 | หญิง | ผมบ๊อบปลายม้วน | ดำ | ผิวเหลือง | 5'3" | ผอม | เสื้อแล็บ | Small | รอบคอบ, สงบ | Cogforge |
|67 | Konstantin Lebedev | ผู้จัดการงานซ่อมบำรุง | หัวหน้าทีมบำรุงเครื่องจักร | 48 | ชาย | ผมปัดข้างเรียบ | เทา | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อช่างมีตรา | - | จริงจัง, กระตือรือร้น | Cogforge |
|68 | Alina Petrova | คนคุมประจำรางขนแร่ | ควบคุมสายพานขนส่ง | 29 | หญิง | ผมหางม้าสูง | น้ำตาลเข้ม | ขาว | 5'4" | หุ่นดี | เสื้อกะทำงาน | Small | ว่องไว, ทำงานหนัก | Cogforge |
|69 | Diego Alvarez | ช่างทำทองเหลือง | ผลิตจาน/ท่อทองเหลือง | 38 | ชาย | ผมปัดหลัง | ดำ | ผิวเมดิเตอร์เรเนียน | 5'8" | หุ่นดี | เสื้อช่างทองเหลือง | - | ภูมิฐาน, ฝีมือดี | Cogforge |
|70 | Hana Kim | นักบัญชีร้านค้า | บัญชีแผง Bazaar ขนาดกลาง | 33 | หญิง | ผมบ๊อบตรง | ดำ | ผิวเหลือง | 5'2" | ผอม | ชุดสำนักงาน | Small | แม่นยำ, ซื่อสัตย์ | Cogforge |
|71 | Gregor Feld | ผู้จัดการประกันกิลด์ | ประกันความเสียหายเครื่องจักร | 45 | ชาย | ผมหวีเรียบ | เทาเข้ม | ขาว | 5'10" | ผอม | ชุดราชการกิลด์ | - | รอบคอบ, พูดจาแน่วแน่ | Cogforge |
|72 | Mirela Pop | เด็กเสิร์ฟท่าเรือ | ร้านอาหารท่าแร่ | 18 | หญิง | ผมเปียคู่ | น้ำตาลอ่อน | ผิวขาว | 5'1" | ผอม | ชุดเสิร์ฟง่าย | Tiny | ร่าเริง, แคล่วคล่อง | Cogforge |
|73 | Nikolai Rostov | ช่างทำแม่พิมพ์ | ทำแม่พิมพ์หล่อ | 54 | ชาย | เครายาว | เทา | ขาว | 5'9" | มีกล้ามเล็กน้อย | เสื้อช่างเก่าแก่ | - | ขรึม, ชำนาญ | Cogforge |
|74 | Lucia Romano | แม่ค้าขายอาหารแห้ง | แผงอาหาร Bazaar | 39 | หญิง | ผมห่มมวย | น้ำตาลเข้ม | ผิวขาวเมดิเตอร์เรเนียน | 5'5" | อวบ | เสื้อพ่อค้า, ผ้ากันเปื้อน | Large | อารมณ์ดี, ใจกว้าง | Cogforge |
|75 | Haruto Shimizu | ช่างจดแบบเครื่องจักร | สตูดิโอออกแบบ | 28 | ชาย | ผมเรียบแสกกลาง | ดำ | ผิวเหลือง | 5'8" | ผอม | เสื้อช่าง, พกแท่งเขียนแบบ | - | มีระเบียบ, ใส่ใจรายละเอียด | Cogforge |
|76 | Petra Novak | ผู้จัดการคลังชิ้นส่วน | คลังกลาง Cogforge | 46 | หญิง | ผมห่อมวยต่ำ | แดงเข้ม | ขาว | 5'6" | หุ่นดี | เสื้อคลัง, ป้ายชื่อ | Medium | เป็นระบบ, แข็งแรง | Cogforge |
|77 | Rafael Kuznetsov | ช่างเครื่องเจาะเหมือง | ควบคุมเครื่องขุด | 43 | ชาย | ผมสั้นเรียบ | เทา | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างหนัก | - | กล้าหาญ, อดทน | Cogforge |
|78 | Mei Wong | พนักงานรับซื้อไม้ | ตัวแทนนำเข้าไม้ | 36 | หญิง | ผมสั้นปัด | ดำ | ผิวเหลือง | 5'3" | ผอม | เสื้อพ่อค้า | Medium | จริงใจ, ช่างต่อรอง | Cogforge |
|79 | Anton Belov | ผู้คุมตลาดฟันเฟือง | ดูแลความเป็นระเบียบ Bazaar | 50 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'11" | ผอม | เสื้อผู้จัดการตลาด | - | เข้มงวด, มีอำนาจ | Cogforge |
|80 | Natsumi Aoki | ช่างเย็บชุดป้องกัน | ผลิตชุดช่างป้องกัน | 32 | หญิง | ผมหางม้า | ดำ | ผิวเหลือง | 5'2" | ผอม | เสื้อผู้ตัดเย็บ | Small | ประณีต, ใจเย็น | Cogforge |
|81 | Rafael Ortega | คนกลางซื้อขายระหว่างกิลด์ | นายหน้าเชื่อมการค้า | 41 | ชาย | ผมปัดเรียบ | ดำ | ผิวแทน | 5'9" | ผอม | เสื้อโค้ทสัญญา | - | ช่างเจรจา, มีเครือข่าย | Cogforge |
|82 | Ingrid Olesen | เจ้าหน้าที่มาตรฐานเหล็ก | ตรวจมาตรฐานการผลิต | 55 | หญิง | ผมบ๊อบสั้น | ขาวหม่น | ขาว | 5'4" | ผอม | เสื้อห้องทดสอบ | Large | เข้มงวด, วิชาชีพสูง | Cogforge |
|83 | Kenzo Mori | ช่างไฟไอน้ำ | ดูแลหลอดไฟและเชือกไอน้ำ | 29 | ชาย | ผมเกรียน | ดำ | ผิวเหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างไฟ | - | มือฉมัง, รอบคอบ | Cogforge |
|84 | Alvaro Mendes | เจ้าของร้านกาแฟแรงงาน | Coffee & Gears | 37 | ชาย | หนวดบาง | ดำ | ผิวเมดิเตอร์เรเนียน | 5'8" | หุ่นดี | เสื้อร้านกาแฟ | - | เป็นมิตร, รู้เรื่องคน | Cogforge |
|85 | Sasha Ivanova | พนักงานจดทะเบียนส่งออก | สำนักส่งออกกิลด์ | 30 | หญิง | ผมบ๊อบเรียบ | บลอนด์ | ขาว | 5'4" | ผอม | เสื้อสำนักงาน | Medium | รอบคอบ, เป็นระบบ | Cogforge |
|86 | Ken Ryu | ช่างแกะสลักป้ายโลหะ | ทำป้ายชื่อร้านและตรา | 34 | ชาย | ผมมัดหลัง | ดำ | ผิวเหลือง | 5'7" | ผอม | เสื้อศิลป์โลหะ | - | เหมือนช่างศิลป์, สนใจรายละเอียด | Cogforge |
|87 | Emilia Duarte | แม่ค้าส่งผ้าไหม (นำเข้า) | ขายวัสดุนุ่มใน Bazaar | 38 | หญิง | ผมห่มมวย | น้ำตาลทอง | ผิวขาวเมดิเตอร์เรเนียน | 5'5" | หุ่นดี | เสื้อผ้าสวยงาม | Medium | รอบคอบ, ใจดี | Cogforge |
|88 | Viktor Orsik | ผู้ดูแลป้อมสต๊อค | คลังสำรองอาวุธ (non-combat admin) | 56 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อคลัง | - | เคร่งครัด, ซื่อสัตย์ | Cogforge |
|89 | Yuna Park | พนักงานเวชภัณฑ์ | คลินิกแรงงาน | 27 | หญิง | ผมยาวรวบ | ดำ | ผิวเหลือง | 5'3" | ผอม | เสื้อพยาบาลคลินิก | Small | ใจดี, ใส่ใจคนไข้ | Cogforge |
|90 | Marco Bellini | นักบัญชีส่งออก | จัดทำใบส่งสินค้า | 45 | ชาย | ผมปัดข้างเรียบ | น้ำตาลเข้ม | ผิวขาว | 5'9" | ผอม | เสื้อสำนักงาน | - | ระมัดระวัง, เชื่อถือได้ | Cogforge |
|91 | Hana Li | เจ้าของร้านซ่อมล้อ | ร้านซ่อมล้อและเฟืองเล็ก | 30 | หญิง | ผมหางม้า | ดำ | ผิวเหลือง | 5'4" | หุ่นดี | เสื้อช่าง | Medium | ฝีมือดี, จริงจัง | Cogforge |
