| #  | ชื่อ (เชื้อชาติ/สไตล์) | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
| 45 | Elias (กรีก) | ช่างเจียร | เจียรชิ้นส่วนอุปกรณ์สงคราม | 39 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างละเอียด | - | พิถีพิถัน, มีสมาธิ | Judicator's Rise |
| 46 | Min-jun (เกาหลี) | พนักงานจับคิวตลาด | ควบคุมการเข้าล็อตขาย Scales' Plaza | 28 | ชาย | ผมสั้นเรียบ | ดำ | เหลือง | 5'8" | ผอม | เสื้อผู้จัดการตลาด | - | จริงจัง, มีระเบียบ | Judicator's Rise |
| 47 | Sofia (ยุโรป-ผสม) | ผู้จัดการโรงแรม Mesa Terrace | รับแขกขุนนางใน Mesa Terrace | 55 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดเจ้าของบ้าน | Large | สุภาพ, รัดกุม | Judicator's Rise |
| 48 | Viktor Kuznetsov (รัสเซีย) | คนควบคุมประตูใหญ่ | ยามประจำ Gate of Judgment (non-combat admin) | 62 | ชาย | เครายาว | เทา | ขาว | 5'11" | มีกล้ามเล็กน้อย | ชุดยามประตู | - | เข้มงวด, ภูมิฐาน | Judicator's Rise |
| 49 | Aeliana (กรีกแฟนตาซี) | นักปั้นตรา | ผลิตตราราชการและตรากิลด์ | 34 | หญิง | ผมบันต่ำ | บลอนด์ | ขาว | 5'5" | ผอม | เสื้อศิลป์งานหนัก | Medium | ประณีต, ภูมิฐาน | Judicator's Rise |
| 50 | Haruto (ญี่ปุ่น) | พนักงานจำหน่ายอุปกรณ์ปีนเขา | ขายอุปกรณ์ปีน Waterfall Staircase | 27 | ชาย | ผมยุ่ง | ดำ | เหลือง | 5'8" | ผอม | เสื้อพ่อค้าแข็งแรง | - | กระตือรือร้น, ช่วยเหลือดี | Judicator's Rise |
| 51 | Marta (ยุโรปตะวันออก) | เจ้าหน้าที่บัญชีคลังทัพ | ควบคุมการเบิกอาวุธ | 48 | หญิง | ผมห่อมวย | แดงหม่น | ขาว | 5'3" | อวบ | ชุดบัญชีทางการ | Large | รอบคอบ, มีระเบียบ | Judicator's Rise |
| 52 | Li Na (จีน) | ผู้ประสานส่งอาหาร | ประสานคาราวานอาหารเข้าสู่เมือง | 38 | หญิง | ผมมัดหางม้า | ดำ | เหลือง | 5'4" | หุ่นดี | เสื้อพ่อค้าขนส่ง | Medium | ว่องไว, เจรจาดี | Judicator's Rise |
| 53 | Roman (โรมัน) | ช่างตีโซ่ | ผลิตโซ่ใหญ่สำหรับ Forge | 44 | ชาย | หนวดสั้น | น้ำตาลเข้ม | ขาว | 5'9" | มีกล้ามเล็กน้อย | เสื้อช่างเหล็ก | - | กระตือรือร้น, มืออาชีพ | Judicator's Rise |
| 54 | Svitlana (รัสเซีย) | พนักงานจัดการศาล | เจ้าหน้าที่รับเรื่องร้องเรียน | 36 | หญิง | ผมเกล้ามวย | บลอนด์ | ขาว | 5'6" | หุ่นดี | ชุดสำนักงานศาล | Medium | เยือกเย็น, ใส่ใจรายละเอียด | Judicator's Rise |
| 55 | Tomas (สแปนิช/ละติน) | พ่อค้าสังกะสี | ขายโลหะ/ชิ้นส่วนสำหรับทำอาวุธ | 40 | ชาย | ผมปัดด้าน | น้ำตาลเข้ม | ขาว | 5'10" | ผอม | เสื้อพ่อค้าเหล็ก | - | ช่างต่อรอง, มีไหวพริบ | Judicator's Rise |
| 56 | Eun-ji (เกาหลี) | พนักงานทะเบียนทหาร | ลงทะเบียนรับสมัครทหารรับจ้าง | 33 | หญิง | ผมบ๊อบ | ดำ | เหลือง | 5'3" | ผอม | เสื้อราชการ | Small | เคร่งครัด, มีระบบ | Judicator's Rise |
| 57 | Alvaro (ละติน) | เจ้าของโรงซ่อมรถเกวียน | ซ่อมเกวียนทหาร/การขนส่ง | 49 | ชาย | หนวดบาง | ดำ | ผิวเมดิเตอร์เรเนียน | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่าง | - | ใจดี, มั่นคง | Judicator's Rise |
| 58 | Keiko (ญี่ปุ่น) | เจ้าของบ้านพักแรงงาน | Guesthouse ย่าน Quarry Ledge | 56 | หญิง | ผมห่อมวยต่ำ | ดำ | เหลือง | 5'1" | อวบ | ชุดโฮสเทล | Large | ใจดี, ควบคุมดี | Judicator's Rise |
| 59 | Tomaso (อิตาลี) | นักถ่วงน้ำหนัก | ตรวจสมดุลล็อตสินค้าใน Scales' Plaza | 45 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | มีกล้ามเล็กน้อย | เสื้องานชั่ง | - | รอบคอบ, มืออาชีพ | Judicator's Rise |
| 60 | Yara (แฟนตาซี) | หมอสมุนไพร | ร้านยาเล็กใกล้ท่าเรือ | 50 | หญิง | ผมห่อมวย | เทา | ขาวอมเหลือง | 5'4" | อวบ | ชุดหมอพื้นบ้าน | Large | ใจดี, มีความรู้สมุนไพร | Judicator's Rise |
| 61 | Nikolai (รัสเซีย) | ผู้จัดการแรงงานเหมือง | ควบคุมการทำงานใน Quarry Ledge | 54 | ชาย | ผมสั้นเรียบ | เทา | ขาว | 5'10" | มีกล้าม | เสื้อกะเหมือง | - | จริงจัง, ยึดมาตรฐาน | Judicator's Rise |
| 62 | Marina (รัสเซีย) | ครูฝึกงานช่าง | ฝึกคนงานหล่อ/ช่าง | 47 | หญิง | ผมหยักมวย | เทา | ขาว | 5'5" | อวบ | ชุดครูช่าง | Large | ใจดีแต่เข้มงวด | Judicator's Rise |
| 63 | Paolo (ละติน) | พนักงานแปรรูปชิ้นส่วน | ประกอบชิ้นส่วน Siege Weapon (assembly) | 38 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | มีกล้ามเล็กน้อย | เสื้อช่าง | - | มืออาชีพ, กระตือรือร้น | Judicator's Rise |
| 64 | Mei (จีน) | พนักงานชั่งข้าว | ชั่งและแบ่งล็อตอาหารสำหรับกองทัพ | 34 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'2" | ผอม | ชุดคลังอาหาร | Small | รวดเร็ว, แม่นยำ | Judicator's Rise |
| 65 | Lysander (กรีก) | นักพิมพ์ป้าย | ทำป้ายคำสั่งและประกาศราชการ | 41 | ชาย | ผมยาวมัด | น้ำตาลทอง | ขาว | 5'10" | ผอม | เสื้อช่างพิมพ์ | - | ตรงไปตรงมา, มีความรับผิดชอบ | Judicator's Rise |
| 66 | Hana (ญี่ปุ่น) | พนักงานซ่อมบำรุงบันไดน้ำตก | ทีม maintenance Waterfall Staircase | 29 | หญิง | ผมหางม้าเตี้ย | ดำ | เหลือง | 5'1" | ผอม | เสื้อช่างกันน้ำ | Small | ขยัน, กล้าลุย | Judicator's Rise |
| 67 | Radu (ยุโรปตะวันออก) | พนักงานตลาดกลางคืน | ดูแลการขายล็อตยามค่ำใน Scales' Plaza | 35 | ชาย | ผมสั้นยุ่ง | ดำ | ขาว | 5'9" | ผอม | เสื้อพ่อค้าตลาด | - | ฉลาดแกมโกงเล็กน้อย, ว่องไว | Judicator's Rise |
| 68 | Linnea (นอร์ดิก/ยุโรป) | เจ้าหน้าที่ตรวจสอบสัญญา | ตรวจตราสัญญาการผลิตให้รัฐ | 46 | หญิง | ผมห่อมวย | บลอนด์ | ขาว | 5'6" | หุ่นดี | ชุดตุลาการ | Large | เยือกเย็น, เคร่งครัด | Judicator's Rise |
| 69 | Jun (จีน) | ช่างแกะสลักเสาหิน | ประดับ Pillars รอบ High Court | 40 | ชาย | ผมมัดท้าย | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างหิน | - | พิถีพิถัน, ใส่ใจศิลป์ | Judicator's Rise |
| 70 | Mikhail (รัสเซีย) | พนักงานวิศวกรรมไอน้ำ | ดูแลระบบความร้อน Great Geothermal Forge | 52 | ชาย | ผมสั้นเรียบ | เทา | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อวิศวกร | - | รอบคอบ, มีประสบการณ์ | Judicator's Rise |
| 71 | Aelina (กรีก) | ผู้จัดการหอศิลป์เมือง | ดูแลการจัดแสดงสัญลักษณ์ความยิ่งใหญ่รัฐ | 48 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดคิวเรเตอร์ | Large | ภูมิฐาน, ช่างสังเกต | Judicator's Rise |
| 72 | Sang-ho (เกาหลี) | พนักงานขนส่งสัตว์ลาก | คุมการย้ายฝูงสัตว์ลาก | 34 | ชาย | ผมมัดหลัง | ดำ | เหลือง | 5'9" | มีกล้าม | เสื้อหนังทน | - | สุจริต, ขยัน | Judicator's Rise |
| 73 | Marta (ยุโรปตะวันออก) | แม่ครัวทัพ | ทำอาหารล็อตใหญ่สำหรับกองทัพ | 46 | หญิง | ผมห่อมวย | แดงหม่น | ขาว | 5'4" | อวบ | ชุดเชฟทหาร | Large | แข็งแรง, ใจดี | Judicator's Rise |
| 74 | Ken (ญี่ปุ่น) | ช่างทดสอบลวดสลิง | ตรวจความทนทานลวด/โซ่ | 31 | ชาย | ผมสั้น | ดำ | เหลือง | 5'8" | ผอม | เสื้อทดสอบ | - | พิถีพิถัน, เยือกเย็น | Judicator's Rise |
| 75 | Octavia (ละติน) | เจ้าหน้าที่ประเมินคดี | ประเมินผลกระทบทางเศรษฐกิจของคำพิพากษา | 50 | หญิง | ผมห่อมวย | น้ำตาลเข้ม | ขาว | 5'6" | หุ่นดี | ชุดผู้เชี่ยวชาญ | Large | รอบรู้, มีเหตุผล | Judicator's Rise |
| 76 | Pavel (รัสเซีย) | ผู้คุมคลังอาวุธ | ดูแลอาวุธขนาดใหญ่ก่อนส่ง | 55 | ชาย | เคราสั้น | เทา | ขาว | 5'11" | มีกล้าม | เสื้อคลังอาวุธ | - | ซื่อสัตย์, เคร่งครัด | Judicator's Rise |
| 77 | Mei-Yu (จีน) | พนักงานบรรจุเกลือ | บรรจุล็อตเกลือเพื่อส่งออก | 28 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'2" | ผอม | ชุดคลัง | Small | คล่องแคล่ว, ขยัน | Judicator's Rise |
| 78 | Anton (ยุโรป) | ผู้ประสานงานท่าเรือภายใน | ประสานลำเลียงหินและอุปกรณ์ | 44 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อประสานงาน | - | มีระเบียบ, มั่นคง | Judicator's Rise |
| 79 | Yelena (รัสเซีย) | ผู้ฝึกงานบรรณารักษ์ | ช่วยงานคลังเอกสารศาล | 26 | หญิง | ผมบ๊อบ | บลอนด์หม่น | ขาว | 5'5" | ผอม | ชุดเจ้าหน้าที่ | Medium | เรียนรู้เร็ว, สุภาพ | Judicator's Rise |
| 80 | Riku (ญี่ปุ่น) | ช่างเหล็กเล็ก | ผลิตชิ้นส่วนย่อยสำหรับ Siege Weapons | 30 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างเหล็ก | - | มือชำนาญ, ขยัน | Judicator's Rise |
| 81 | Claudia (โรมัน) | เจ้าของร้านซ่อมเครื่องแต่งกาย | ซ่อมเครื่องแบบทหาร | 43 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'5" | หุ่นดี | ชุดตัดเย็บ | Medium | ช่างฝีมือ, ใจดี | Judicator's Rise |
| 82 | Min-ho (เกาหลี) | คนขับรถลำเลียง | ขับลำเลียงสิ่งของให้ศาล | 32 | ชาย | ผมสั้นสะอาด | ดำ | เหลือง | 5'9" | มีกล้าม | เสื้อคนขับ | - | ขยัน, รับผิดชอบ | Judicator's Rise |
| 83 | Lucia (ละติน) | พนักงานตรวจคุณภาพไม้ | ตรวจไม้ที่นำเข้าใช้ก่อสร้าง | 37 | หญิง | ผมห่อมวย | น้ำตาลเข้ม | ขาว | 5'4" | ผอม | ชุดตรวจไม้ | Medium | ระมัดระวัง, จริงใจ | Judicator's Rise |
| 84 | Nikol (รัสเซีย) | ช่างทำบูม/เครนยก | ช่างฝีมือ Great Geothermal Forge | 48 | ชาย | ผมสั้นเรียบ | เทา | ขาว | 5'11" | มีกล้าม | เสื้อช่างหนัก | - | รอบคอบ, แข็งแรง | Judicator's Rise |
| 85 | Hana (ญี่ปุ่น) | พนักงานคัดแยกสินค้า | คัดแยกล็อตสำหรับประมูล | 22 | หญิง | ผมเปีย | ดำ | เหลือง | 5'2" | Tiny | ชุดงานคลัง | Tiny | ว่องไว, ตั้งใจ | Judicator's Rise |
| 86 | Marco (ละติน) | เจ้าของโบรกเกอร์ทาส (non-combat admin) | จัดการการซื้อขายที่ Oathbreaker's Pen | 54 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อพ่อค้าเรียบ | - | เยือกเย็น, เคร่งครัด | Judicator's Rise |
| 87 | Lian (จีน) | ช่างเผาหิน | งานเผาและขัดหินสำหรับอาคาร | 40 | หญิง | ผมห่อมวย | ดำ | เหลือง | 5'3" | หุ่นดี | เสื้อช่างเผา | Medium | พิถีพิถัน, อดทน | Judicator's Rise |
| 88 | Sergei (รัสเซีย) | พนักงานเรียกเก็บค่าเข้า | เจ้าหน้าที่เก็บค่าธรรมเนียมเข้าศาล | 47 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'10" | ผอม | ชุดเก็บค่าธรรมเนียม | - | เคร่งครัด, กระตือรือร้น | Judicator's Rise |
